estimator,lambda_sample,lambda_cleaned
rmt_hard,0.007718,0.133181
rmt_hard,0.074322,0.140288
rmt_hard,0.103532,0.141047
rmt_hard,0.110034,0.142500
rmt_hard,0.134187,0.144280
rmt_hard,0.165615,0.144646
rmt_hard,0.198162,0.146932
rmt_hard,0.218081,0.148256
rmt_hard,0.281108,0.151637
rmt_hard,0.401069,0.405546
rmt_hard,0.559495,0.563679
rmt_hard,0.608385,0.612721
rmt_hard,1.036734,1.038828
rmt_hard,1.205963,1.200820
rmt_hard,2.295672,2.270162
rmt_hard,8.599922,8.615477
rmt_soft,0.007718,0.123819
rmt_soft,0.074322,0.127096
rmt_soft,0.103532,0.128764
rmt_soft,0.110034,0.131149
rmt_soft,0.134187,0.138448
rmt_soft,0.165615,0.154467
rmt_soft,0.198162,0.180343
rmt_soft,0.218081,0.200221
rmt_soft,0.281108,0.274846
rmt_soft,0.401069,0.400845
rmt_soft,0.559495,0.558326
rmt_soft,0.608385,0.608207
rmt_soft,1.036734,1.034493
rmt_soft,1.205963,1.194284
rmt_soft,2.295672,2.264009
rmt_soft,8.599922,8.480684
rmt_rie,0.007718,0.009835
rmt_rie,0.074322,0.101637
rmt_rie,0.103532,0.142889
rmt_rie,0.110034,0.158582
rmt_rie,0.134187,0.168772
rmt_rie,0.165615,0.209839
rmt_rie,0.198162,0.232194
rmt_rie,0.218081,0.246839
rmt_rie,0.281108,0.308215
rmt_rie,0.401069,0.481512
rmt_rie,0.559495,0.598711
rmt_rie,0.608385,0.676164
rmt_rie,1.036734,1.068846
rmt_rie,1.205963,1.196564
rmt_rie,2.295672,2.208771
rmt_rie,8.599922,8.190630
factor_model,0.007718,0.039252
factor_model,0.074322,0.099379
factor_model,0.103532,0.126607
factor_model,0.110034,0.139308
factor_model,0.134187,0.165366
factor_model,0.165615,0.168069
factor_model,0.198162,0.197698
factor_model,0.218081,0.227833
factor_model,0.281108,0.334333
factor_model,0.401069,0.413472
factor_model,0.559495,0.473875
factor_model,0.608385,0.698655
factor_model,1.036734,0.834544
factor_model,1.205963,1.159524
factor_model,2.295672,2.148283
factor_model,8.599922,8.773803
ledoit_wolf,0.007718,0.097633
ledoit_wolf,0.074322,0.184533
ledoit_wolf,0.103532,0.186873
ledoit_wolf,0.110034,0.221353
ledoit_wolf,0.134187,0.233585
ledoit_wolf,0.165615,0.282564
ledoit_wolf,0.198162,0.314144
ledoit_wolf,0.218081,0.362659
ledoit_wolf,0.281108,0.478502
ledoit_wolf,0.401069,0.493429
ledoit_wolf,0.559495,0.601530
ledoit_wolf,0.608385,0.656094
ledoit_wolf,1.036734,1.032221
ledoit_wolf,1.205963,1.155426
ledoit_wolf,2.295672,1.880890
ledoit_wolf,8.599922,7.818566
