estimator,allocator,qlike
constant_corr,equal_weight,0.919677
constant_corr,hrp,0.463730
constant_corr,inverse_variance,0.516120
constant_corr,max_diversification,0.355352
constant_corr,minimum_variance,0.318130
constant_corr,risk_parity,0.521519
factor_model,equal_weight,0.943455
factor_model,hrp,0.421857
factor_model,inverse_variance,0.484868
factor_model,max_diversification,0.254642
factor_model,minimum_variance,0.270145
factor_model,risk_parity,0.426772
ledoit_wolf,equal_weight,0.864950
ledoit_wolf,hrp,0.454594
ledoit_wolf,inverse_variance,0.606810
ledoit_wolf,max_diversification,0.361856
ledoit_wolf,minimum_variance,0.322566
ledoit_wolf,risk_parity,0.550536
rmt_hard,equal_weight,0.926259
rmt_hard,hrp,0.474338
rmt_hard,inverse_variance,0.519383
rmt_hard,max_diversification,0.359206
rmt_hard,minimum_variance,0.322021
rmt_hard,risk_parity,0.526381
rmt_rie,equal_weight,0.774636
rmt_rie,hrp,0.397321
rmt_rie,inverse_variance,0.447317
rmt_rie,max_diversification,0.314868
rmt_rie,minimum_variance,0.288123
rmt_rie,risk_parity,0.439642
rmt_soft,equal_weight,0.926259
rmt_soft,hrp,0.465553
rmt_soft,inverse_variance,0.516383
rmt_soft,max_diversification,0.353122
rmt_soft,minimum_variance,0.321935
rmt_soft,risk_parity,0.526342
sample,equal_weight,0.926274
sample,hrp,0.461395
sample,inverse_variance,0.516974
sample,max_diversification,0.354746
sample,minimum_variance,0.321406
sample,risk_parity,0.526517
