date,vol,enb,dr,weight_min,weight_max,weight_hhi,n_nonzero,no_trade,strategy
2022-01-06,0.012192,14.241822,1.416737,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2022-02-11,0.011786,14.358962,1.426679,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2022-03-14,0.011460,14.474419,1.427792,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2022-04-14,0.011524,14.714384,1.428295,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2022-05-18,0.012694,14.696977,1.378246,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2022-06-17,0.012818,14.646695,1.367206,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2022-07-18,0.012924,14.722436,1.359869,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2022-08-16,0.012493,14.879792,1.361496,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2022-09-15,0.012333,14.854460,1.353009,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2022-10-21,0.012721,14.859082,1.313684,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2022-11-21,0.013123,14.968454,1.295764,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2022-12-20,0.013171,15.059637,1.293100,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2023-01-19,0.013118,15.103207,1.295119,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2023-02-24,0.012986,15.155634,1.293027,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2023-03-27,0.012630,15.129317,1.297421,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2023-04-26,0.011652,14.878063,1.341534,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2023-05-30,0.010247,14.976940,1.414346,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2023-06-30,0.009900,15.046327,1.430600,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2023-07-31,0.009611,15.150822,1.436288,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2023-08-29,0.009585,15.146459,1.419119,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2023-09-27,0.009570,15.135491,1.388113,0.062500,0.062500,0.062500,16,0,sample+equal_weight
