allocator,cov_method,d_sharpe,d_sharpe_net,d_ann_return,d_ann_volatility,d_max_drawdown,d_calmar,d_turnover,d_enb,sharpe,sharpe_net,avg_turnover,avg_enb,avg_dr
equal_weight,sample,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.137308,0.135746,0.028134,14.662495,1.308463
equal_weight,ledoit_wolf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011739,0.137308,0.135746,0.028134,14.674235,1.335753
equal_weight,constant_corr,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.137308,0.135746,0.028134,14.662495,1.308463
equal_weight,rmt_hard,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001186,0.137308,0.135746,0.028134,14.661309,1.308517
equal_weight,rmt_soft,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000984,0.137308,0.135746,0.028134,14.661512,1.316162
equal_weight,rmt_rie,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000386,0.137308,0.135746,0.028134,14.662109,1.336800
equal_weight,factor_model,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002835,0.137308,0.135746,0.028134,14.665330,1.295242
hrp,sample,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.124489,0.120417,0.060694,14.313776,1.338316
hrp,ledoit_wolf,0.003817,0.003952,0.000662,0.000876,-0.000171,0.002108,-0.001736,0.094551,0.128306,0.124369,0.058957,14.408327,1.371496
hrp,constant_corr,-0.001064,-0.001096,-0.000198,0.000093,-0.001472,-0.000520,0.000511,0.004595,0.123426,0.119321,0.061204,14.318371,1.338374
hrp,rmt_hard,0.004529,0.004449,0.000784,0.001652,-0.000704,0.002539,0.001836,-0.025608,0.129019,0.124866,0.062530,14.288168,1.335421
hrp,rmt_soft,0.004873,0.004721,0.000884,-0.000057,-0.003981,0.003132,0.002258,0.005909,0.129362,0.125138,0.062951,14.319685,1.345408
hrp,rmt_rie,0.008485,0.007896,0.001501,0.001917,0.000018,0.004747,0.009737,-0.098557,0.132975,0.128313,0.070431,14.215219,1.365703
hrp,factor_model,0.021593,0.021259,0.003926,0.000473,-0.005893,0.013101,0.005015,-0.113478,0.146082,0.141676,0.065709,14.200298,1.329775
inverse_variance,sample,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.135628,0.132984,0.041381,14.729749,1.325671
inverse_variance,ledoit_wolf,0.004754,0.004833,0.000856,0.001623,0.001764,0.002467,-0.000919,0.149393,0.140382,0.137816,0.040463,14.879142,1.357839
inverse_variance,constant_corr,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.135628,0.132984,0.041381,14.729749,1.325671
inverse_variance,rmt_hard,0.003973,0.003946,0.000793,-0.000997,-0.003867,0.002815,0.000206,0.059708,0.139601,0.136930,0.041587,14.789457,1.327868
inverse_variance,rmt_soft,0.002411,0.002396,0.000477,-0.000453,-0.002031,0.001658,0.000124,0.053431,0.138038,0.135380,0.041506,14.783180,1.335332
inverse_variance,rmt_rie,-0.003475,-0.003490,-0.000685,0.000360,0.002206,-0.002286,0.000321,-0.065325,0.132152,0.129494,0.041702,14.664424,1.351991
inverse_variance,factor_model,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.069554,0.135628,0.132984,0.041381,14.799303,1.315840
max_diversification,sample,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.316532,0.310340,0.084480,4.743385,1.537886
max_diversification,ledoit_wolf,-0.051272,-0.051133,-0.009050,-0.002012,0.001718,-0.031684,-0.002666,0.404817,0.265260,0.259207,0.081814,5.148202,1.557315
max_diversification,constant_corr,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.316532,0.310340,0.084480,4.743385,1.537886
max_diversification,rmt_hard,0.009393,0.009142,0.001445,-0.000916,0.002027,0.003962,0.002684,-0.331546,0.325925,0.319482,0.087163,4.411839,1.540539
max_diversification,rmt_soft,0.003627,0.003599,0.000717,0.000473,0.000618,0.002159,0.000562,-0.004434,0.320158,0.313939,0.085042,4.738951,1.540252
max_diversification,rmt_rie,-0.030245,-0.030345,-0.005256,-0.000314,0.003812,-0.019598,0.001516,0.435569,0.286287,0.279995,0.085996,5.178954,1.558388
max_diversification,factor_model,0.004912,0.004556,-0.000690,-0.008621,-0.043204,0.021465,0.000686,-0.710999,0.321444,0.314896,0.085166,4.032386,1.548976
minimum_variance,sample,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.176301,0.169048,0.086775,5.140531,1.372653
minimum_variance,ledoit_wolf,0.003679,0.003742,0.000544,0.000149,0.001504,0.001806,-0.000625,0.203775,0.179980,0.172790,0.086150,5.344306,1.412101
minimum_variance,constant_corr,0.000001,0.000001,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000021,0.176302,0.169048,0.086775,5.140552,1.372653
minimum_variance,rmt_hard,0.003454,0.003272,0.000509,0.000006,0.000503,0.001934,0.002234,0.102347,0.179755,0.172319,0.089008,5.242878,1.367279
minimum_variance,rmt_soft,-0.002404,-0.002495,-0.000350,0.000032,0.000758,-0.001619,0.001165,0.072646,0.173898,0.166553,0.087940,5.213177,1.373840
minimum_variance,rmt_rie,-0.009573,-0.009442,-0.001412,-0.000287,0.002138,-0.006252,-0.001788,0.075695,0.166728,0.159605,0.084987,5.216226,1.395571
minimum_variance,factor_model,0.030623,0.030610,0.004382,-0.001324,-0.009627,0.021180,-0.000697,-0.151966,0.206925,0.199658,0.086078,4.988565,1.370886
risk_parity,sample,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150071,0.147837,0.035456,16.000000,1.358580
risk_parity,ledoit_wolf,0.000221,0.000235,0.000032,0.000423,0.000446,0.000048,-0.000151,0.000000,0.150292,0.148073,0.035305,16.000000,1.389505
risk_parity,constant_corr,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.150071,0.147837,0.035456,16.000000,1.358580
risk_parity,rmt_hard,0.000214,0.000211,0.000043,-0.000019,0.000015,0.000127,0.000050,0.000000,0.150285,0.148048,0.035506,16.000000,1.356696
risk_parity,rmt_soft,-0.000072,-0.000072,-0.000014,0.000004,0.000050,-0.000048,-0.000002,0.000000,0.149999,0.147766,0.035454,16.000000,1.365235
risk_parity,rmt_rie,-0.001625,-0.001622,-0.000323,0.000101,0.000689,-0.001048,-0.000032,0.000000,0.148446,0.146216,0.035424,16.000000,1.387866
risk_parity,factor_model,0.002950,0.002891,0.000586,-0.000574,-0.001745,0.001971,0.000835,0.000000,0.153021,0.150729,0.036291,16.000000,1.346322
