strategy,cov_method,allocator,ann_return,ann_volatility,sharpe,sharpe_net,ann_return_net,sortino,max_drawdown,calmar,var_95,cvar_95,skew,excess_kurtosis,ulcer,avg_turnover,total_turnover,n_rebalances,avg_vol_exante,avg_enb,avg_dr,avg_weight_hhi,total_cost
sample+equal_weight,sample,equal_weight,0.008183,0.219824,0.137308,0.135746,0.007833,0.265715,0.372817,0.021948,0.069034,0.085313,1.912192,6.196755,0.208949,0.028134,1.294168,46,0.012501,14.662495,1.308463,0.062500,0.001294
sample+inverse_variance,sample,inverse_variance,0.009254,0.190009,0.135628,0.132984,0.008745,0.263084,0.324828,0.028489,0.056768,0.069881,1.989389,6.556276,0.181125,0.041381,1.903548,46,0.010971,14.729749,1.325671,0.078402,0.001904
sample+minimum_variance,sample,minimum_variance,0.015830,0.144356,0.176301,0.169048,0.014769,0.335527,0.245790,0.064406,0.052782,0.058677,1.793852,5.696310,0.124715,0.086775,3.991646,46,0.009141,5.140531,1.372653,0.203101,0.003992
sample+risk_parity,sample,risk_parity,0.011942,0.193182,0.150071,0.147837,0.011503,0.292925,0.330949,0.036083,0.060184,0.072541,1.949857,6.299382,0.182885,0.035456,1.630978,46,0.011226,16.000000,1.358580,0.071943,0.001631
sample+hrp,sample,hrp,0.007464,0.180380,0.124489,0.120417,0.006721,0.237269,0.316196,0.023606,0.056204,0.067480,1.873545,5.871131,0.177801,0.060694,2.791915,46,0.010743,14.313776,1.338316,0.083640,0.002792
sample+max_diversification,sample,max_diversification,0.040608,0.166071,0.316532,0.310340,0.039548,0.662176,0.291479,0.139316,0.051433,0.063224,2.021785,6.677650,0.143449,0.084480,3.886079,46,0.009750,4.743385,1.537886,0.275210,0.003886
ledoit_wolf+equal_weight,ledoit_wolf,equal_weight,0.008183,0.219824,0.137308,0.135746,0.007833,0.265715,0.372817,0.021948,0.069034,0.085313,1.912192,6.196755,0.208949,0.028134,1.294168,46,0.012220,14.674235,1.335753,0.062500,0.001294
ledoit_wolf+inverse_variance,ledoit_wolf,inverse_variance,0.010110,0.191633,0.140382,0.137816,0.009611,0.272593,0.326592,0.030956,0.057181,0.070277,1.973689,6.450061,0.182462,0.040463,1.861296,46,0.010836,14.879142,1.357839,0.076384,0.001861
ledoit_wolf+minimum_variance,ledoit_wolf,minimum_variance,0.016374,0.144505,0.179980,0.172790,0.015320,0.342471,0.247294,0.066212,0.053539,0.058947,1.781293,5.630676,0.125561,0.086150,3.962909,46,0.009052,5.344306,1.412101,0.196797,0.003963
ledoit_wolf+risk_parity,ledoit_wolf,risk_parity,0.011974,0.193605,0.150292,0.148073,0.011537,0.293345,0.331395,0.036131,0.060267,0.072631,1.946516,6.276105,0.183277,0.035305,1.624035,46,0.011012,16.000000,1.389505,0.071493,0.001624
ledoit_wolf+hrp,ledoit_wolf,hrp,0.008126,0.181257,0.128306,0.124369,0.007404,0.244691,0.316024,0.025715,0.056283,0.067673,1.869920,5.853444,0.177700,0.058957,2.712042,46,0.010581,14.408327,1.371496,0.082101,0.002712
ledoit_wolf+max_diversification,ledoit_wolf,max_diversification,0.031557,0.164059,0.265260,0.259207,0.030540,0.544663,0.293197,0.107632,0.051536,0.063311,2.015029,6.601759,0.145779,0.081814,3.763425,46,0.009638,5.148202,1.557315,0.236974,0.003763
constant_corr+equal_weight,constant_corr,equal_weight,0.008183,0.219824,0.137308,0.135746,0.007833,0.265715,0.372817,0.021948,0.069034,0.085313,1.912192,6.196755,0.208949,0.028134,1.294168,46,0.012476,14.662495,1.308463,0.062500,0.001294
constant_corr+inverse_variance,constant_corr,inverse_variance,0.009254,0.190009,0.135628,0.132984,0.008745,0.263084,0.324828,0.028489,0.056768,0.069881,1.989389,6.556276,0.181125,0.041381,1.903548,46,0.010949,14.729749,1.325671,0.078402,0.001904
constant_corr+minimum_variance,constant_corr,minimum_variance,0.015830,0.144356,0.176302,0.169048,0.014769,0.335528,0.245790,0.064406,0.052782,0.058677,1.793856,5.696329,0.124715,0.086775,3.991637,46,0.009123,5.140552,1.372653,0.203100,0.003992
constant_corr+risk_parity,constant_corr,risk_parity,0.011942,0.193182,0.150071,0.147837,0.011503,0.292925,0.330949,0.036083,0.060184,0.072541,1.949857,6.299382,0.182885,0.035456,1.630978,46,0.011203,16.000000,1.358580,0.071943,0.001631
constant_corr+hrp,constant_corr,hrp,0.007266,0.180474,0.123426,0.119321,0.006517,0.234955,0.314723,0.023086,0.056204,0.067480,1.870544,5.855777,0.177477,0.061204,2.815400,46,0.010722,14.318371,1.338374,0.083644,0.002815
constant_corr+max_diversification,constant_corr,max_diversification,0.040608,0.166071,0.316532,0.310340,0.039548,0.662176,0.291479,0.139316,0.051433,0.063224,2.021785,6.677650,0.143449,0.084480,3.886079,46,0.009731,4.743385,1.537886,0.275210,0.003886
rmt_hard+equal_weight,rmt_hard,equal_weight,0.008183,0.219824,0.137308,0.135746,0.007833,0.265715,0.372817,0.021948,0.069034,0.085313,1.912192,6.196755,0.208949,0.028134,1.294168,46,0.012502,14.661309,1.308517,0.062500,0.001294
rmt_hard+inverse_variance,rmt_hard,inverse_variance,0.010047,0.189013,0.139601,0.136930,0.009535,0.271298,0.320961,0.031304,0.056033,0.069320,1.991304,6.556194,0.178421,0.041587,1.913008,46,0.010931,14.789457,1.327868,0.078875,0.001913
rmt_hard+minimum_variance,rmt_hard,minimum_variance,0.016339,0.144362,0.179755,0.172319,0.015250,0.343156,0.246293,0.066340,0.053052,0.058336,1.801582,5.705959,0.124864,0.089008,4.094388,46,0.009133,5.242878,1.367279,0.200141,0.004094
rmt_hard+risk_parity,rmt_hard,risk_parity,0.011984,0.193164,0.150285,0.148048,0.011545,0.293383,0.330963,0.036210,0.060185,0.072537,1.950387,6.302911,0.182874,0.035506,1.633272,46,0.011224,16.000000,1.356696,0.071987,0.001633
rmt_hard+hrp,rmt_hard,hrp,0.008249,0.182033,0.129019,0.124866,0.007484,0.246580,0.315492,0.026145,0.055752,0.068109,1.913320,6.176948,0.175742,0.062530,2.876364,46,0.010736,14.288168,1.335421,0.083921,0.002876
rmt_hard+max_diversification,rmt_hard,max_diversification,0.042053,0.165155,0.325925,0.319482,0.040957,0.681872,0.293506,0.143278,0.049340,0.062766,2.004517,6.604523,0.143051,0.087163,4.009520,46,0.009670,4.411839,1.540539,0.299060,0.004010
rmt_soft+equal_weight,rmt_soft,equal_weight,0.008183,0.219824,0.137308,0.135746,0.007833,0.265715,0.372817,0.021948,0.069034,0.085313,1.912192,6.196755,0.208949,0.028134,1.294168,46,0.012502,14.661512,1.316162,0.062500,0.001294
rmt_soft+inverse_variance,rmt_soft,inverse_variance,0.009731,0.189556,0.138038,0.135380,0.009220,0.267969,0.322797,0.030147,0.056398,0.069653,1.990220,6.561440,0.179642,0.041506,1.909254,46,0.010948,14.783180,1.335332,0.078565,0.001909
rmt_soft+minimum_variance,rmt_soft,minimum_variance,0.015480,0.144387,0.173898,0.166553,0.014405,0.330881,0.246547,0.062786,0.053018,0.058705,1.795564,5.697911,0.125261,0.087940,4.045220,46,0.009149,5.213177,1.373840,0.200917,0.004045
rmt_soft+risk_parity,rmt_soft,risk_parity,0.011927,0.193186,0.149999,0.147766,0.011489,0.292767,0.330999,0.036035,0.060190,0.072545,1.949747,6.299208,0.182926,0.035454,1.630883,46,0.011226,16.000000,1.365235,0.071940,0.001631
rmt_soft+hrp,rmt_soft,hrp,0.008348,0.180323,0.129362,0.125138,0.007578,0.246259,0.312215,0.026738,0.056414,0.067569,1.864950,5.851958,0.174746,0.062951,2.895762,46,0.010734,14.319685,1.345408,0.083883,0.002896
rmt_soft+max_diversification,rmt_soft,max_diversification,0.041324,0.166544,0.320158,0.313939,0.040257,0.671775,0.292097,0.141474,0.051042,0.063199,2.041663,6.810184,0.143359,0.085042,3.911909,46,0.009758,4.738951,1.540252,0.277726,0.003912
rmt_rie+equal_weight,rmt_rie,equal_weight,0.008183,0.219824,0.137308,0.135746,0.007833,0.265715,0.372817,0.021948,0.069034,0.085313,1.912192,6.196755,0.208949,0.028134,1.294168,46,0.011743,14.662109,1.336800,0.062500,0.001294
rmt_rie+inverse_variance,rmt_rie,inverse_variance,0.008569,0.190370,0.132152,0.129494,0.008056,0.255539,0.327034,0.026202,0.057875,0.070314,1.980988,6.524516,0.183322,0.041702,1.918313,46,0.010317,14.664424,1.351991,0.078523,0.001918
rmt_rie+minimum_variance,rmt_rie,minimum_variance,0.014418,0.144069,0.166728,0.159605,0.013379,0.316438,0.247928,0.058154,0.053208,0.058682,1.793653,5.685983,0.126382,0.084987,3.909401,46,0.008638,5.216226,1.395571,0.200280,0.003909
rmt_rie+risk_parity,rmt_rie,risk_parity,0.011619,0.193283,0.148446,0.146216,0.011181,0.289349,0.331638,0.035035,0.060547,0.072707,1.945632,6.280964,0.183578,0.035424,1.629516,46,0.010552,16.000000,1.387866,0.071826,0.001630
rmt_rie+hrp,rmt_rie,hrp,0.008966,0.182298,0.132975,0.128313,0.008106,0.254575,0.316214,0.028353,0.056605,0.067646,1.908661,6.112096,0.178112,0.070431,3.239826,46,0.010086,14.215219,1.365703,0.084202,0.003240
rmt_rie+max_diversification,rmt_rie,max_diversification,0.035352,0.165757,0.286287,0.279995,0.034280,0.590879,0.295291,0.119718,0.051090,0.063988,1.997872,6.526681,0.146066,0.085996,3.955816,46,0.009230,5.178954,1.558388,0.248516,0.003956
factor_model+equal_weight,factor_model,equal_weight,0.008183,0.219824,0.137308,0.135746,0.007833,0.265715,0.372817,0.021948,0.069034,0.085313,1.912192,6.196755,0.208949,0.028134,1.294168,46,0.012620,14.665330,1.295242,0.062500,0.001294
factor_model+inverse_variance,factor_model,inverse_variance,0.009254,0.190009,0.135628,0.132984,0.008745,0.263084,0.324828,0.028489,0.056768,0.069881,1.989389,6.556276,0.181125,0.041381,1.903548,46,0.011051,14.799303,1.315840,0.078402,0.001904
factor_model+minimum_variance,factor_model,minimum_variance,0.020212,0.143031,0.206925,0.199658,0.019155,0.392940,0.236163,0.085585,0.052287,0.058600,1.739371,5.491377,0.120828,0.086078,3.959572,46,0.009035,4.988565,1.370886,0.208774,0.003960
factor_model+risk_parity,factor_model,risk_parity,0.012528,0.192609,0.153021,0.150729,0.012079,0.299069,0.329204,0.038054,0.060210,0.072363,1.945205,6.251995,0.181423,0.036291,1.669367,46,0.011305,16.000000,1.346322,0.072374,0.001669
factor_model+hrp,factor_model,hrp,0.011390,0.180853,0.146082,0.141676,0.010583,0.281358,0.310303,0.036707,0.056596,0.068160,1.873676,5.822832,0.169264,0.065709,3.022606,46,0.010740,14.200298,1.329775,0.086050,0.003023
factor_model+max_diversification,factor_model,max_diversification,0.039918,0.157450,0.321444,0.314896,0.038854,0.681393,0.248275,0.160781,0.048029,0.054105,2.141144,7.189493,0.118955,0.085166,3.917650,46,0.009392,4.032386,1.548976,0.289278,0.003918
60_40,benchmark,benchmark,0.034968,0.211873,0.260244,0.260244,0.034968,0.496588,0.401518,0.087091,0.071406,0.089477,1.724444,5.988536,0.212441,,,0,,,,,
