date,vol,enb,dr,weight_min,weight_max,weight_hhi,n_nonzero,no_trade,strategy
2019-06-21,0.006980,11.360889,1.415540,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2019-07-23,0.006982,11.537739,1.416852,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2019-08-21,0.007349,11.323924,1.402019,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2019-09-20,0.007477,11.208867,1.410720,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2019-10-21,0.007351,11.088076,1.413924,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2019-11-19,0.006921,11.201822,1.436383,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2019-12-19,0.006374,11.178437,1.473315,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2020-01-22,0.005221,11.079753,1.599252,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2020-02-21,0.005217,10.762409,1.606896,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2020-03-23,0.013322,11.898510,1.252579,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2020-04-22,0.016101,12.096615,1.220391,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2020-05-21,0.016522,12.053301,1.221320,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2020-06-22,0.016971,11.978956,1.219973,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2020-07-22,0.017157,11.939341,1.220342,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2020-08-20,0.017029,11.988797,1.224690,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2020-09-21,0.017165,12.038955,1.222144,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2020-10-20,0.017313,12.069868,1.220495,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2020-11-18,0.017611,12.045666,1.225719,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2020-12-18,0.017684,12.027867,1.227622,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2021-01-21,0.017742,12.019224,1.232559,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2021-02-22,0.017806,12.057976,1.232255,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2021-03-23,0.013002,12.131035,1.285396,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2021-04-22,0.009511,11.795539,1.396976,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2021-05-21,0.008857,12.108696,1.422083,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2021-06-22,0.007925,12.450066,1.474596,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2021-07-22,0.007603,12.493772,1.492696,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2021-08-20,0.007536,12.359120,1.486344,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2021-09-21,0.007256,12.153437,1.501286,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2021-10-20,0.006915,12.164191,1.538196,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2021-11-18,0.006177,12.367029,1.583795,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2021-12-20,0.006380,12.310998,1.572476,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2022-01-20,0.006490,12.443464,1.542139,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2022-02-18,0.006678,12.409040,1.545150,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2022-03-22,0.006784,12.138508,1.570548,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2022-04-21,0.006874,12.084814,1.572715,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2022-05-20,0.008023,12.116305,1.482133,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2022-06-22,0.008972,12.430909,1.414235,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2022-07-22,0.009239,12.467554,1.413354,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2022-08-22,0.009480,12.521441,1.405905,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2022-09-21,0.009977,12.651824,1.377274,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2022-10-20,0.010769,13.034635,1.339841,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2022-11-18,0.011523,13.202799,1.313542,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2022-12-20,0.011652,13.367739,1.299912,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2023-01-23,0.011793,13.421289,1.295003,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2023-02-22,0.011742,13.525813,1.289959,0.062500,0.062500,0.062500,16,0,sample+equal_weight
2023-03-23,0.011621,13.557521,1.287152,0.062500,0.062500,0.062500,16,0,sample+equal_weight
