allocator,cov_method,d_sharpe,d_sharpe_net,d_ann_return,d_ann_volatility,d_max_drawdown,d_calmar,d_turnover,d_enb,sharpe,sharpe_net,avg_turnover,avg_enb,avg_dr
equal_weight,sample,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.634706,0.633246,0.020799,12.755547,1.405249
equal_weight,ledoit_wolf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027699,0.634706,0.633246,0.020799,12.783246,1.435755
equal_weight,constant_corr,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019855,0.634706,0.633246,0.020799,12.775402,1.406074
equal_weight,rmt_hard,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000074,0.634706,0.633246,0.020799,12.755473,1.403608
equal_weight,rmt_soft,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000527,0.634706,0.633246,0.020799,12.755020,1.411335
equal_weight,rmt_rie,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001047,0.634706,0.633246,0.020799,12.756594,1.439244
equal_weight,factor_model,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.017852,0.634706,0.633246,0.020799,12.737695,1.391222
hrp,sample,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261403,0.253255,0.071022,9.118829,1.727691
hrp,ledoit_wolf,0.096243,0.096539,0.011769,0.005876,-0.025109,0.078326,0.001310,1.008131,0.357647,0.349794,0.072332,10.126961,1.780737
hrp,constant_corr,-0.004211,-0.004054,-0.000392,0.000353,0.006291,-0.004882,-0.001144,-0.003884,0.257192,0.249202,0.069879,9.114945,1.724388
hrp,rmt_hard,0.016955,0.016259,0.001969,0.000984,0.001313,0.008711,0.007192,0.114197,0.278358,0.269514,0.078214,9.233026,1.727118
hrp,rmt_soft,-0.003616,-0.003572,-0.000343,0.000262,0.004590,-0.003859,0.000264,0.025487,0.257787,0.249683,0.071286,9.144316,1.737238
hrp,rmt_rie,-0.003416,-0.003309,-0.000402,-0.000321,0.001286,-0.002553,-0.001275,-0.045693,0.257987,0.249946,0.069747,9.073136,1.759708
hrp,factor_model,-0.045556,-0.045955,-0.005069,-0.002540,0.005963,-0.026494,0.001764,-0.491428,0.215847,0.207300,0.072787,8.627401,1.784311
inverse_variance,sample,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.366133,0.362866,0.033023,14.264592,1.679073
inverse_variance,ledoit_wolf,0.110053,0.110524,0.016474,0.007698,0.008755,0.074276,-0.002575,0.060170,0.476187,0.473390,0.030448,14.324762,1.669094
inverse_variance,constant_corr,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.016547,0.366133,0.362866,0.033023,14.281139,1.676448
inverse_variance,rmt_hard,-0.005920,-0.005988,-0.000411,0.001411,0.004571,-0.006657,0.001095,0.022521,0.360213,0.356878,0.034118,14.287113,1.677486
inverse_variance,rmt_soft,-0.004934,-0.004950,-0.000421,0.000829,0.002994,-0.005184,0.000410,0.031510,0.361200,0.357915,0.033432,14.296103,1.688007
inverse_variance,rmt_rie,-0.001541,-0.001569,-0.000311,-0.000533,-0.002103,0.000513,0.000091,-0.046624,0.364592,0.361297,0.033114,14.217968,1.714996
inverse_variance,factor_model,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.554709,0.366133,0.362866,0.033023,13.709883,1.700450
max_diversification,sample,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.380793,0.369596,0.090944,5.359632,1.990132
max_diversification,ledoit_wolf,0.017863,0.020534,0.004292,0.008298,-0.005990,0.034062,-0.015648,0.829200,0.398655,0.390130,0.075296,6.188832,2.012163
max_diversification,constant_corr,0.001446,0.001654,0.000487,0.001179,-0.000090,0.003034,-0.000668,0.062451,0.382239,0.371250,0.090276,5.422083,1.980820
max_diversification,rmt_hard,0.000338,-0.000123,0.000278,0.000870,-0.005687,0.008622,0.004238,0.037323,0.381131,0.369473,0.095182,5.396956,1.992306
max_diversification,rmt_soft,0.001708,0.001564,0.000372,0.000734,-0.002668,0.005449,0.001516,0.176462,0.382501,0.371160,0.092460,5.536094,1.992488
