strategy,cov_method,allocator,ann_return,ann_volatility,sharpe,sharpe_net,ann_return_net,sortino,max_drawdown,calmar,var_95,cvar_95,skew,excess_kurtosis,ulcer,avg_turnover,total_turnover,n_rebalances,avg_vol_exante,avg_enb,avg_dr,avg_weight_hhi,total_cost
sample+equal_weight,sample,equal_weight,0.095048,0.167495,0.634706,0.633246,0.094778,0.835766,0.280438,0.338928,0.042936,0.124763,-2.469341,16.151447,0.067382,0.020799,1.622297,78,0.009395,12.755547,1.405249,0.062500,0.001622
sample+inverse_variance,sample,inverse_variance,0.036850,0.119183,0.366133,0.362866,0.036442,0.472084,0.190198,0.193743,0.041216,0.093271,-2.142730,12.375638,0.068182,0.033023,2.575761,78,0.005529,14.264592,1.679073,0.168792,0.002576
sample+minimum_variance,sample,minimum_variance,0.029346,0.105165,0.328913,0.322476,0.028639,0.442529,0.174860,0.167825,0.033794,0.077255,-1.426834,9.533495,0.067147,0.057698,4.500437,78,0.004860,5.255054,1.838559,0.194905,0.004500
sample+risk_parity,sample,risk_parity,0.046666,0.114553,0.457905,0.454877,0.046300,0.606257,0.178762,0.261050,0.041124,0.088046,-1.849941,9.931245,0.064297,0.029391,2.292503,78,0.005783,16.000000,1.756337,0.127055,0.002293
sample+hrp,sample,hrp,0.021869,0.104027,0.261403,0.253255,0.021001,0.342023,0.208919,0.104676,0.039094,0.079743,-1.708689,8.975562,0.086168,0.071022,5.539750,78,0.004834,9.118829,1.727691,0.227582,0.005540
sample+max_diversification,sample,max_diversification,0.032330,0.096019,0.380793,0.369596,0.031211,0.493638,0.166206,0.194521,0.037216,0.075593,-1.769705,7.295933,0.061675,0.090944,7.093625,78,0.005187,5.359632,1.990132,0.266126,0.007094
ledoit_wolf+equal_weight,ledoit_wolf,equal_weight,0.095048,0.167495,0.634706,0.633246,0.094778,0.835766,0.280438,0.338928,0.042936,0.124763,-2.469341,16.151447,0.067382,0.020799,1.622297,78,0.009204,12.783246,1.435755,0.062500,0.001622
ledoit_wolf+inverse_variance,ledoit_wolf,inverse_variance,0.053323,0.126882,0.476187,0.473390,0.052943,0.631990,0.198953,0.268019,0.041509,0.096337,-1.889549,12.480446,0.066211,0.030448,2.374909,78,0.006117,14.324762,1.669094,0.122999,0.002375
ledoit_wolf+minimum_variance,ledoit_wolf,minimum_variance,0.030976,0.105498,0.343222,0.337042,0.030295,0.463449,0.174512,0.177500,0.033509,0.077294,-1.402400,9.575758,0.066840,0.055529,4.331290,78,0.004908,5.494402,1.884278,0.189949,0.004331
ledoit_wolf+risk_parity,ledoit_wolf,risk_parity,0.053580,0.118933,0.500901,0.498167,0.053234,0.675362,0.178823,0.299624,0.041208,0.089535,-1.666057,10.110983,0.063747,0.027602,2.152917,78,0.006005,16.000000,1.788891,0.106872,0.002153
ledoit_wolf+hrp,ledoit_wolf,hrp,0.033638,0.109903,0.357647,0.349794,0.032744,0.478317,0.183810,0.183002,0.039482,0.082526,-1.566344,9.517496,0.067693,0.072332,5.641933,78,0.005193,10.126961,1.780737,0.175636,0.005642
ledoit_wolf+max_diversification,ledoit_wolf,max_diversification,0.036623,0.104318,0.398655,0.390130,0.035693,0.527768,0.160216,0.228582,0.036218,0.078488,-1.687137,9.816974,0.058189,0.075296,5.873114,78,0.005363,6.188832,2.012163,0.184750,0.005873
