date,vol,enb,dr,weight_min,weight_max,weight_hhi,n_nonzero,no_trade,strategy
2022-12-01,0.015999,24.630194,1.508620,0.033333,0.033333,0.033333,30,0,sample+equal_weight
2023-01-03,0.015191,24.500946,1.502455,0.033333,0.033333,0.033333,30,0,sample+equal_weight
2023-02-02,0.014620,25.402681,1.401336,0.033333,0.033333,0.033333,30,0,sample+equal_weight
2023-03-06,0.014237,25.094058,1.448905,0.033333,0.033333,0.033333,30,0,sample+equal_weight
2023-04-04,0.012693,24.770853,1.550441,0.033333,0.033333,0.033333,30,0,sample+equal_weight
2023-05-04,0.011489,23.863677,1.591258,0.033333,0.033333,0.033333,30,0,sample+equal_weight
2023-06-05,0.009838,24.601667,1.767581,0.033333,0.033333,0.033333,30,0,sample+equal_weight
2023-07-06,0.008877,24.275869,1.886901,0.033333,0.033333,0.033333,30,0,sample+equal_weight
2023-08-04,0.008020,24.964116,1.974847,0.033333,0.033333,0.033333,30,0,sample+equal_weight
2023-09-05,0.007496,24.252382,2.031619,0.033333,0.033333,0.033333,30,0,sample+equal_weight
2023-10-04,0.007378,23.957792,2.043604,0.033333,0.033333,0.033333,30,0,sample+equal_weight
2023-11-02,0.007402,23.690669,2.072796,0.033333,0.033333,0.033333,30,0,sample+equal_weight
2023-12-04,0.007416,25.087292,1.998524,0.033333,0.033333,0.033333,30,0,sample+equal_weight
2024-01-04,0.007383,24.245741,2.042507,0.033333,0.033333,0.033333,30,0,sample+equal_weight
2024-02-05,0.007611,23.711784,1.995056,0.033333,0.033333,0.033333,30,0,sample+equal_weight
2024-03-06,0.007603,23.644629,2.017731,0.033333,0.033333,0.033333,30,0,sample+equal_weight
2024-04-05,0.007275,23.635007,2.156631,0.033333,0.033333,0.033333,30,0,sample+equal_weight
2024-05-06,0.006977,22.490903,2.249845,0.033333,0.033333,0.033333,30,0,sample+equal_weight
2024-06-05,0.006941,23.697488,2.270044,0.033333,0.033333,0.033333,30,0,sample+equal_weight
2024-07-08,0.006531,23.703938,2.395343,0.033333,0.033333,0.033333,30,0,sample+equal_weight
2024-08-06,0.007180,23.224118,2.296311,0.033333,0.033333,0.033333,30,0,sample+equal_weight
2024-09-05,0.007438,22.587259,2.186823,0.033333,0.033333,0.033333,30,0,sample+equal_weight
2024-10-04,0.007189,21.418576,2.230656,0.033333,0.033333,0.033333,30,0,sample+equal_weight
2024-11-04,0.007136,22.536874,2.212880,0.033333,0.033333,0.033333,30,0,sample+equal_weight
2024-12-04,0.007152,21.415265,2.237479,0.033333,0.033333,0.033333,30,0,sample+equal_weight
2025-01-06,0.007725,21.859633,2.091703,0.033333,0.033333,0.033333,30,0,sample+equal_weight
2025-02-06,0.007010,22.298961,2.270463,0.033333,0.033333,0.033333,30,0,sample+equal_weight
2025-03-10,0.007109,22.832131,2.319864,0.033333,0.033333,0.033333,30,0,sample+equal_weight
2025-04-08,0.010296,23.645601,1.846923,0.033333,0.033333,0.033333,30,0,sample+equal_weight
2025-05-08,0.013930,23.490874,1.541544,0.033333,0.033333,0.033333,30,0,sample+equal_weight
2025-06-09,0.014366,23.513739,1.527936,0.033333,0.033333,0.033333,30,0,sample+equal_weight
2025-07-10,0.014100,23.392401,1.561596,0.033333,0.033333,0.033333,30,0,sample+equal_weight
2025-08-08,0.014011,23.434842,1.537897,0.033333,0.033333,0.033333,30,0,sample+equal_weight
2025-09-09,0.013429,23.556482,1.541798,0.033333,0.033333,0.033333,30,0,sample+equal_weight
2025-10-08,0.007102,23.168360,2.377188,0.033333,0.033333,0.033333,30,0,sample+equal_weight
2025-11-06,0.006067,20.966055,2.661935,0.033333,0.033333,0.033333,30,0,sample+equal_weight
2022-12-01,0.012338,26.192045,1.442302,0.001449,0.101727,0.048954,30,0,sample+inverse_variance
2023-01-03,0.011643,26.140408,1.424476,0.001277,0.104018,0.049224,30,0,sample+inverse_variance
2023-02-02,0.011668,26.640268,1.415776,0.006939,0.090360,0.047001,30,0,sample+inverse_variance
2023-03-06,0.011181,26.330964,1.458099,0.005369,0.096272,0.048307,30,0,sample+inverse_variance
2023-04-04,0.009908,25.609512,1.550301,0.004998,0.096059,0.049771,30,0,sample+inverse_variance
2023-05-04,0.008699,25.692974,1.638330,0.006182,0.100369,0.050654,30,0,sample+inverse_variance
2023-06-05,0.007766,24.413070,1.730979,0.004686,0.103313,0.051068,30,0,sample+inverse_variance
2023-07-06,0.006890,24.529563,1.868229,0.004741,0.111342,0.052445,30,0,sample+inverse_variance
2023-08-04,0.006434,23.593992,1.918175,0.004844,0.109873,0.053687,30,0,sample+inverse_variance
2023-09-05,0.005973,22.936278,1.956796,0.004840,0.116977,0.054948,30,0,sample+inverse_variance
2023-10-04,0.005963,23.098940,1.968824,0.004809,0.110661,0.052579,30,0,sample+inverse_variance
2023-11-02,0.006215,24.054653,2.005010,0.005067,0.090345,0.046287,30,0,sample+inverse_variance
2023-12-04,0.006378,24.974583,1.982306,0.008758,0.080913,0.044141,30,0,sample+inverse_variance
2024-01-04,0.006232,24.719913,2.051461,0.007988,0.076308,0.043868,30,0,sample+inverse_variance
2024-02-05,0.006206,24.583084,2.025410,0.007137,0.075401,0.044667,30,0,sample+inverse_variance
2024-03-06,0.006181,24.243669,2.035673,0.006263,0.084033,0.045411,30,0,sample+inverse_variance
2024-04-05,0.005819,23.231155,2.119064,0.005772,0.095942,0.048231,30,0,sample+inverse_variance
2024-05-06,0.005536,22.997212,2.218504,0.005577,0.109246,0.048586,30,0,sample+inverse_variance
2024-06-05,0.005765,23.161854,2.157729,0.005801,0.100189,0.047313,30,0,sample+inverse_variance
2024-07-08,0.005498,22.477122,2.206238,0.004993,0.103229,0.048549,30,0,sample+inverse_variance
2024-08-06,0.005930,23.525461,2.194738,0.004331,0.100130,0.047483,30,0,sample+inverse_variance
2024-09-05,0.005932,24.197594,2.181222,0.004492,0.105572,0.048222,30,0,sample+inverse_variance
2024-10-04,0.005717,24.500406,2.269323,0.004267,0.102834,0.047127,30,0,sample+inverse_variance
2024-11-04,0.005922,24.021156,2.197932,0.004709,0.088241,0.045338,30,0,sample+inverse_variance
2024-12-04,0.005650,24.269500,2.333414,0.005254,0.086551,0.045856,30,0,sample+inverse_variance
2025-01-06,0.006103,24.942700,2.196085,0.005848,0.082488,0.045077,30,0,sample+inverse_variance
2025-02-06,0.005781,23.991176,2.278432,0.005700,0.075898,0.044593,30,0,sample+inverse_variance
