allocator,cov_method,d_sharpe,d_sharpe_net,d_ann_return,d_ann_volatility,d_max_drawdown,d_calmar,d_turnover,d_enb,sharpe,sharpe_net,avg_turnover,avg_enb,avg_dr
equal_weight,sample,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.330402,1.326441,0.041009,23.543413,1.954140
equal_weight,ledoit_wolf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.337792,1.330402,1.326441,0.041009,23.881205,2.172067
equal_weight,constant_corr,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.086547,1.330402,1.326441,0.041009,23.629960,1.954765
equal_weight,rmt_hard,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000405,1.330402,1.326441,0.041009,23.543008,1.952410
equal_weight,rmt_soft,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010020,1.330402,1.326441,0.041009,23.533393,1.995531
equal_weight,rmt_rie,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.069989,1.330402,1.326441,0.041009,23.473424,2.063852
equal_weight,factor_model,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.833103,1.330402,1.326441,0.041009,22.710310,1.920201
hrp,sample,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.813540,0.799208,0.133162,22.046323,1.979706
hrp,ledoit_wolf,0.074472,0.076235,0.011565,0.002875,0.007555,0.046404,-0.015404,1.829434,0.888012,0.875443,0.117758,23.875757,2.285581
hrp,constant_corr,0.006690,0.006100,0.000964,0.000188,-0.001377,0.018815,0.004050,0.177636,0.820230,0.805309,0.137211,22.223959,1.979848
hrp,rmt_hard,0.044556,0.043824,0.004092,-0.001710,0.002836,0.015950,0.004386,0.158224,0.858096,0.843032,0.137547,22.204547,1.971631
hrp,rmt_soft,-0.010567,-0.010068,-0.001650,-0.000493,-0.002190,0.000957,-0.006257,0.322894,0.802973,0.789140,0.126905,22.369218,2.025715
hrp,rmt_rie,-0.039860,-0.039187,-0.004831,0.000044,0.005979,-0.082083,-0.006575,0.397672,0.773680,0.760021,0.126586,22.443995,2.095233
hrp,factor_model,-0.108015,-0.109411,-0.014441,-0.002049,-0.002830,-0.112294,0.010695,-0.713259,0.705525,0.689797,0.143856,21.333065,2.112628
inverse_variance,sample,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.945544,0.938397,0.065663,24.657096,1.941435
inverse_variance,ledoit_wolf,0.110393,0.111114,0.020784,0.006230,0.010229,0.088578,-0.006417,1.956605,1.055938,1.049511,0.059246,26.613701,2.229405
inverse_variance,constant_corr,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.077087,0.945544,0.938397,0.065663,24.734183,1.941842
inverse_variance,rmt_hard,0.004085,0.003807,-0.000184,-0.000770,-0.000491,0.002360,0.002415,-0.011789,0.949629,0.942204,0.068078,24.645307,1.948099
inverse_variance,rmt_soft,-0.004408,-0.004507,-0.001081,-0.000564,-0.000456,-0.005638,0.000708,-0.029864,0.941136,0.933890,0.066371,24.627232,1.988379
inverse_variance,rmt_rie,-0.007026,-0.007105,-0.001091,-0.000204,0.001724,-0.022782,0.000689,0.082221,0.938518,0.931292,0.066353,24.739317,2.055400
inverse_variance,factor_model,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.676411,0.945544,0.938397,0.065663,25.333507,2.010504
max_diversification,sample,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.442474,1.416182,0.212865,10.114589,2.447573
max_diversification,ledoit_wolf,-0.296128,-0.291481,-0.033435,-0.000253,0.004799,-0.368420,-0.035774,3.488894,1.146345,1.124700,0.177091,13.603483,2.624058
max_diversification,constant_corr,-0.037260,-0.036557,-0.001391,0.001920,0.004386,-0.070001,-0.000199,0.338841,1.405214,1.379624,0.212666,10.453430,2.422883
max_diversification,rmt_hard,-0.182648,-0.184244,-0.021976,-0.001114,0.000473,-0.215853,0.013320,0.517158,1.259826,1.231937,0.226184,10.631747,2.434256
max_diversification,rmt_soft,-0.102072,-0.100369,-0.010452,0.000763,0.002344,-0.129043,-0.012000,1.226365,1.340402,1.315812,0.200865,11.340954,2.461684
max_diversification,rmt_rie,-0.212475,-0.208497,-0.020674,0.002542,0.007538,-0.280186,-0.026737,2.276563,1.229999,1.207685,0.186128,12.391152,2.501542
max_diversification,factor_model,-0.459002,-0.455281,-0.048767,0.002236,-0.012154,-0.341396,-0.025340,-0.105599,0.983472,0.960900,0.187524,10.008990,2.679969
minimum_variance,sample,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.622371,0.599849,0.199156,8.444588,2.145927
minimum_variance,ledoit_wolf,0.031502,0.034827,0.000881,-0.004505,0.006613,-0.041041,-0.039525,3.231385,0.653872,0.634676,0.159630,11.675973,2.432515
minimum_variance,constant_corr,-0.002212,-0.001993,0.000105,0.000649,0.000521,-0.003049,-0.000880,0.115355,0.620159,0.597855,0.198275,8.559943,2.117841
minimum_variance,rmt_hard,-0.022650,-0.022244,-0.002678,-0.000258,0.001057,-0.038944,-0.004916,-0.104858,0.599720,0.577604,0.194240,8.339730,2.132563
minimum_variance,rmt_soft,-0.015693,-0.013398,-0.001870,-0.000197,0.001470,-0.032982,-0.022023,0.344726,0.606677,0.586450,0.177133,8.789314,2.161025
minimum_variance,rmt_rie,-0.085528,-0.082557,-0.009831,-0.000565,0.004436,-0.142051,-0.028291,0.880429,0.536843,0.517291,0.170865,9.325017,2.208306
minimum_variance,factor_model,-0.171944,-0.166451,-0.016129,0.008379,0.005196,-0.215003,-0.037973,-0.363400,0.450426,0.433397,0.161183,8.081188,2.450989
risk_parity,sample,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.084217,1.077838,0.057723,30.000000,2.117359
risk_parity,ledoit_wolf,0.017332,0.017521,0.004368,0.001880,0.002395,0.015099,-0.001341,0.000000,1.101549,1.095359,0.056382,30.000000,2.368585
risk_parity,constant_corr,-0.000659,-0.000595,0.000469,0.000514,0.000672,-0.001522,-0.000284,0.000000,1.083557,1.077243,0.057439,30.000000,2.109658
risk_parity,rmt_hard,-0.004163,-0.004279,-0.000654,-0.000096,0.000224,-0.006752,0.001272,0.000000,1.080054,1.073559,0.058995,30.000000,2.113132
risk_parity,rmt_soft,-0.001574,-0.001566,-0.000194,0.000013,0.000061,-0.001967,-0.000064,0.000000,1.082642,1.076272,0.057659,30.000000,2.157672
risk_parity,rmt_rie,-0.006852,-0.006782,-0.000404,0.000473,0.001783,-0.016551,-0.000422,0.000000,1.077365,1.071056,0.057300,30.000000,2.225735
risk_parity,factor_model,-0.031096,-0.032276,-0.007120,-0.002900,-0.009976,0.023247,0.010234,0.000000,1.053121,1.045562,0.067957,30.000000,2.223294
