strategy,cov_method,allocator,ann_return,ann_volatility,sharpe,sharpe_net,ann_return_net,sortino,max_drawdown,calmar,var_95,cvar_95,skew,excess_kurtosis,ulcer,avg_turnover,total_turnover,n_rebalances,avg_vol_exante,avg_enb,avg_dr,avg_weight_hhi,total_cost
sample+equal_weight,sample,equal_weight,0.202076,0.147492,1.330402,1.326441,0.201481,2.123908,0.158149,1.277755,0.050713,0.093593,-1.081941,1.611480,0.037421,0.041009,1.476335,36,0.009506,23.543413,1.954140,0.033333,0.001476
sample+inverse_variance,sample,inverse_variance,0.108853,0.116933,0.945544,0.938397,0.107980,1.360413,0.116722,0.932583,0.050465,0.086694,-1.282987,3.037349,0.031398,0.065663,2.363876,36,0.007586,24.657096,1.941435,0.047397,0.002364
sample+minimum_variance,sample,minimum_variance,0.062253,0.106218,0.622371,0.599849,0.059728,0.887942,0.087094,0.714779,0.044307,0.074537,-0.906783,1.089579,0.033273,0.199156,7.169598,36,0.006116,8.444588,2.145927,0.127086,0.007170
sample+risk_parity,sample,risk_parity,0.128531,0.118542,1.084217,1.077838,0.127750,1.575916,0.129528,0.992308,0.048084,0.085559,-1.433832,3.015797,0.032857,0.057723,2.078024,36,0.007807,30.000000,2.117359,0.040089,0.002078
sample+hrp,sample,hrp,0.089118,0.113153,0.813540,0.799208,0.087387,1.125141,0.111237,0.801153,0.051623,0.086921,-1.405841,3.429299,0.031087,0.133162,4.793823,36,0.007271,22.046323,1.979706,0.053889,0.004794
sample+max_diversification,sample,max_diversification,0.148310,0.099860,1.442474,1.416182,0.145407,2.155388,0.104449,1.419922,0.036859,0.068786,-1.675013,4.163290,0.031095,0.212865,7.663137,36,0.007205,10.114589,2.447573,0.110161,0.007663
ledoit_wolf+equal_weight,ledoit_wolf,equal_weight,0.202076,0.147492,1.330402,1.326441,0.201481,2.123908,0.158149,1.277755,0.050713,0.093593,-1.081941,1.611480,0.037421,0.041009,1.476335,36,0.008693,23.881205,2.172067,0.033333,0.001476
ledoit_wolf+inverse_variance,ledoit_wolf,inverse_variance,0.129637,0.123163,1.055938,1.049511,0.128831,1.553267,0.126951,1.021162,0.049730,0.088338,-1.273482,2.738352,0.031925,0.059246,2.132846,36,0.007332,26.613701,2.229405,0.041156,0.002133
ledoit_wolf+minimum_variance,ledoit_wolf,minimum_variance,0.063134,0.101713,0.653872,0.634676,0.061103,0.908136,0.093707,0.673738,0.042732,0.074095,-1.230784,2.146225,0.032241,0.159630,5.746696,36,0.006102,11.675973,2.432515,0.091422,0.005747
ledoit_wolf+risk_parity,ledoit_wolf,risk_parity,0.132900,0.120422,1.101549,1.095359,0.132133,1.609284,0.131923,1.007407,0.048119,0.086160,-1.417980,2.896807,0.033205,0.056382,2.029751,36,0.007307,30.000000,2.368585,0.038872,0.002030
ledoit_wolf+hrp,ledoit_wolf,hrp,0.100683,0.116028,0.888012,0.875443,0.099134,1.234893,0.118792,0.847557,0.051270,0.088510,-1.466754,3.433774,0.031978,0.117758,4.239281,36,0.006935,23.875757,2.285581,0.047861,0.004239
ledoit_wolf+max_diversification,ledoit_wolf,max_diversification,0.114875,0.099607,1.146345,1.124700,0.112525,1.649867,0.109248,1.051502,0.039661,0.071282,-1.739947,4.517069,0.032762,0.177091,6.375271,36,0.006703,13.603483,2.624058,0.079551,0.006375
constant_corr+equal_weight,constant_corr,equal_weight,0.202076,0.147492,1.330402,1.326441,0.201481,2.123908,0.158149,1.277755,0.050713,0.093593,-1.081941,1.611480,0.037421,0.041009,1.476335,36,0.009464,23.629960,1.954765,0.033333,0.001476
constant_corr+inverse_variance,constant_corr,inverse_variance,0.108853,0.116933,0.945544,0.938397,0.107980,1.360413,0.116722,0.932583,0.050465,0.086694,-1.282987,3.037349,0.031398,0.065663,2.363876,36,0.007553,24.734183,1.941842,0.047397,0.002364
constant_corr+minimum_variance,constant_corr,minimum_variance,0.062358,0.106867,0.620159,0.597855,0.059844,0.885579,0.087615,0.711730,0.044845,0.074798,-0.897839,1.086213,0.033299,0.198275,7.137901,36,0.006122,8.559943,2.117841,0.125876,0.007138
constant_corr+risk_parity,constant_corr,risk_parity,0.129000,0.119056,1.083557,1.077243,0.128222,1.577698,0.130200,0.990786,0.048071,0.085781,-1.419063,3.018158,0.032827,0.057439,2.067808,36,0.007793,30.000000,2.109658,0.039961,0.002068
constant_corr+hrp,constant_corr,hrp,0.090082,0.113341,0.820230,0.805309,0.088293,1.135453,0.109860,0.819969,0.053114,0.086640,-1.401767,3.336567,0.030747,0.137211,4.939606,36,0.007252,22.223959,1.979848,0.053692,0.004940
