estimator,allocator,slope_logbias_vs_logcond,intercept,r2,n
constant_corr,equal_weight,0.534053,-3.279753,0.140921,46
constant_corr,hrp,0.580476,-3.563304,0.144983,46
constant_corr,inverse_variance,0.573636,-3.525908,0.145846,46
constant_corr,max_diversification,0.512528,-3.141736,0.119827,46
constant_corr,minimum_variance,0.540133,-3.313369,0.115740,46
constant_corr,risk_parity,0.558670,-3.428612,0.141468,46
factor_model,equal_weight,0.524926,-3.209543,0.136979,46
factor_model,hrp,0.573658,-3.510245,0.142682,46
factor_model,inverse_variance,0.569603,-3.490780,0.143732,46
factor_model,max_diversification,0.495250,-3.049502,0.114903,46
factor_model,minimum_variance,0.566702,-3.506552,0.123054,46
factor_model,risk_parity,0.552659,-3.380161,0.138535,46
ledoit_wolf,equal_weight,0.506661,-3.123821,0.129575,46
ledoit_wolf,hrp,0.551769,-3.400463,0.135828,46
ledoit_wolf,inverse_variance,0.542912,-3.349228,0.134930,46
ledoit_wolf,max_diversification,0.502046,-3.084017,0.114738,46
ledoit_wolf,minimum_variance,0.528102,-3.244721,0.112115,46
ledoit_wolf,risk_parity,0.531910,-3.276159,0.131335,46
rmt_hard,equal_weight,0.533996,-3.277330,0.140889,46
rmt_hard,hrp,0.576790,-3.539853,0.144018,46
rmt_hard,inverse_variance,0.572427,-3.515357,0.145010,46
rmt_hard,max_diversification,0.518698,-3.182181,0.122527,46
rmt_hard,minimum_variance,0.538508,-3.301970,0.114237,46
rmt_hard,risk_parity,0.558733,-3.427046,0.141495,46
rmt_rie,equal_weight,0.535401,-3.348948,0.141522,46
rmt_rie,hrp,0.579662,-3.616407,0.144420,46
rmt_rie,inverse_variance,0.575171,-3.595895,0.146462,46
rmt_rie,max_diversification,0.507538,-3.165316,0.118101,46
rmt_rie,minimum_variance,0.535369,-3.335585,0.114898,46
rmt_rie,risk_parity,0.559377,-3.493445,0.141828,46
rmt_soft,equal_weight,0.533962,-3.277098,0.140875,46
rmt_soft,hrp,0.577591,-3.540754,0.144056,46
rmt_soft,inverse_variance,0.573708,-3.524081,0.145711,46
rmt_soft,max_diversification,0.513231,-3.142569,0.120270,46
rmt_soft,minimum_variance,0.538857,-3.302080,0.114587,46
rmt_soft,risk_parity,0.558586,-3.426018,0.141433,46
sample,equal_weight,0.534053,-3.277765,0.140921,46
sample,hrp,0.580476,-3.561316,0.144983,46
sample,inverse_variance,0.573636,-3.523920,0.145846,46
sample,max_diversification,0.512528,-3.139748,0.119827,46
sample,minimum_variance,0.540133,-3.311380,0.115740,46
sample,risk_parity,0.558670,-3.426624,0.141468,46
