estimator,allocator,pred_vol_mean,real_vol_mean,bias_pct,mae_vol,rmse_vol,qlike,mse_var,corr_pred_real,avg_enb,sample_avg_cond,sample_avg_eff_rank,q,n
constant_corr,equal_weight,0.012476,0.011566,7.864782,0.004045,0.006189,0.518351,0.000000,-0.036298,14.662495,617.665788,4.329735,0.063492,46
constant_corr,hrp,0.010627,0.009825,8.156108,0.003672,0.005583,0.644133,0.000000,-0.141561,14.355331,617.665788,4.329735,0.063492,46
constant_corr,inverse_variance,0.010949,0.010170,7.656086,0.003747,0.005764,0.603540,0.000000,-0.123860,14.729749,617.665788,4.329735,0.063492,46
constant_corr,max_diversification,0.009968,0.009346,6.649740,0.003273,0.004969,0.577699,0.000000,-0.122715,6.275423,617.665788,4.329735,0.063492,46
constant_corr,minimum_variance,0.009123,0.008595,6.142356,0.003282,0.005114,0.659744,0.000000,-0.137511,5.140552,617.665788,4.329735,0.063492,46
constant_corr,risk_parity,0.011203,0.010345,8.295739,0.003757,0.005702,0.598788,0.000000,-0.112172,16.000000,617.665788,4.329735,0.063492,46
factor_model,equal_weight,0.012620,0.011566,9.108872,0.004106,0.006211,0.532458,0.000000,-0.036574,14.665330,617.665788,4.329735,0.063492,46
factor_model,hrp,0.010653,0.009736,9.425087,0.003672,0.005565,0.645047,0.000000,-0.138993,14.306532,617.665788,4.329735,0.063492,46
factor_model,inverse_variance,0.011051,0.010170,8.659194,0.003800,0.005791,0.618256,0.000000,-0.127362,14.799303,617.665788,4.329735,0.063492,46
factor_model,max_diversification,0.009917,0.009432,5.138895,0.003212,0.004917,0.524378,0.000000,-0.099894,5.547136,617.665788,4.329735,0.063492,46
factor_model,minimum_variance,0.009035,0.008707,3.765939,0.003277,0.005225,0.631565,0.000000,-0.156854,4.988565,617.665788,4.329735,0.063492,46
factor_model,risk_parity,0.011305,0.010334,9.401776,0.003806,0.005719,0.612809,0.000000,-0.114524,16.000000,617.665788,4.329735,0.063492,46
ledoit_wolf,equal_weight,0.012220,0.011566,5.653206,0.003895,0.006081,0.474441,0.000000,-0.036675,14.674235,617.665788,4.329735,0.063492,46
ledoit_wolf,hrp,0.010498,0.009894,6.106006,0.003524,0.005481,0.569326,0.000000,-0.135630,14.470961,617.665788,4.329735,0.063492,46
ledoit_wolf,inverse_variance,0.010836,0.010261,5.598033,0.003617,0.005696,0.542983,0.000000,-0.110858,14.879142,617.665788,4.329735,0.063492,46
ledoit_wolf,max_diversification,0.009825,0.009311,5.517697,0.003206,0.004934,0.569123,0.000000,-0.120197,6.382321,617.665788,4.329735,0.063492,46
ledoit_wolf,minimum_variance,0.009052,0.008606,5.187672,0.003232,0.005087,0.624298,0.000000,-0.132454,5.344306,617.665788,4.329735,0.063492,46
ledoit_wolf,risk_parity,0.011012,0.010369,6.194861,0.003615,0.005615,0.546477,0.000000,-0.109453,16.000000,617.665788,4.329735,0.063492,46
rmt_hard,equal_weight,0.012502,0.011566,8.087391,0.004058,0.006195,0.521541,0.000000,-0.036293,14.661309,617.665788,4.329735,0.063492,46
rmt_hard,hrp,0.010626,0.009824,8.158664,0.003653,0.005585,0.632484,0.000000,-0.138304,14.359040,617.665788,4.329735,0.063492,46
rmt_hard,inverse_variance,0.010931,0.010127,7.938563,0.003750,0.005754,0.608956,0.000000,-0.123772,14.789457,617.665788,4.329735,0.063492,46
rmt_hard,max_diversification,0.009972,0.009352,6.627119,0.003279,0.004963,0.577434,0.000000,-0.140216,6.156757,617.665788,4.329735,0.063492,46
rmt_hard,minimum_variance,0.009133,0.008600,6.186040,0.003294,0.005124,0.668898,0.000000,-0.137575,5.242878,617.665788,4.329735,0.063492,46
rmt_hard,risk_parity,0.011224,0.010343,8.509583,0.003768,0.005706,0.602334,0.000000,-0.112142,16.000000,617.665788,4.329735,0.063492,46
rmt_rie,equal_weight,0.011743,0.011566,1.529957,0.003737,0.006060,0.437413,0.000000,-0.036183,14.662109,617.665788,4.329735,0.063492,46
rmt_rie,hrp,0.010013,0.009821,1.951014,0.003388,0.005474,0.549102,0.000000,-0.131934,14.380991,617.665788,4.329735,0.063492,46
rmt_rie,inverse_variance,0.010317,0.010180,1.341837,0.003454,0.005660,0.513613,0.000000,-0.122342,14.664424,617.665788,4.329735,0.063492,46
rmt_rie,max_diversification,0.009420,0.009334,0.924713,0.002990,0.004870,0.494688,0.000000,-0.117410,6.438714,617.665788,4.329735,0.063492,46
rmt_rie,minimum_variance,0.008638,0.008578,0.702615,0.003050,0.005026,0.563496,0.000000,-0.132643,5.216226,617.665788,4.329735,0.063492,46
rmt_rie,risk_parity,0.010552,0.010350,1.955354,0.003451,0.005580,0.506914,0.000000,-0.111325,16.000000,617.665788,4.329735,0.063492,46
rmt_soft,equal_weight,0.012502,0.011566,8.088583,0.004058,0.006195,0.521548,0.000000,-0.036300,14.661512,617.665788,4.329735,0.063492,46
rmt_soft,hrp,0.010641,0.009798,8.614053,0.003660,0.005580,0.648319,0.000000,-0.137418,14.392561,617.665788,4.329735,0.063492,46
rmt_soft,inverse_variance,0.010948,0.010148,7.882279,0.003753,0.005761,0.608383,0.000000,-0.124366,14.783180,617.665788,4.329735,0.063492,46
rmt_soft,max_diversification,0.010007,0.009345,7.085024,0.003294,0.004975,0.582150,0.000000,-0.123720,6.289558,617.665788,4.329735,0.063492,46
rmt_soft,minimum_variance,0.009149,0.008597,6.428087,0.003306,0.005129,0.667624,0.000000,-0.138030,5.213177,617.665788,4.329735,0.063492,46
rmt_soft,risk_parity,0.011226,0.010345,8.518964,0.003769,0.005708,0.602337,0.000000,-0.112170,16.000000,617.665788,4.329735,0.063492,46
sample,equal_weight,0.012501,0.011566,8.079438,0.004057,0.006195,0.521451,0.000000,-0.036298,14.662495,617.665788,4.329735,0.063492,46
sample,hrp,0.010648,0.009825,8.371344,0.003683,0.005588,0.647835,0.000000,-0.141561,14.355331,617.665788,4.329735,0.063492,46
sample,inverse_variance,0.010971,0.010170,7.870327,0.003758,0.005769,0.607030,0.000000,-0.123860,14.729749,617.665788,4.329735,0.063492,46
sample,max_diversification,0.009988,0.009346,6.861978,0.003283,0.004973,0.581040,0.000000,-0.122715,6.275423,617.665788,4.329735,0.063492,46
sample,minimum_variance,0.009141,0.008595,6.353597,0.003292,0.005118,0.663449,0.000000,-0.137511,5.140531,617.665788,4.329735,0.063492,46
