estimator,allocator,slope_logbias_vs_logcond,intercept,r2,n
constant_corr,equal_weight,0.145240,-0.916066,0.038786,78
constant_corr,hrp,0.022781,-0.110989,0.001353,78
constant_corr,inverse_variance,0.063415,-0.372782,0.009391,78
constant_corr,max_diversification,0.032016,-0.194328,0.002851,78
constant_corr,minimum_variance,0.026623,-0.185101,0.002166,78
constant_corr,risk_parity,0.063558,-0.367026,0.009467,78
factor_model,equal_weight,0.140295,-0.865458,0.036447,78
factor_model,hrp,-0.028640,0.227205,0.002118,78
factor_model,inverse_variance,0.040137,-0.201375,0.003869,78
factor_model,max_diversification,-0.033794,0.158821,0.003492,78
factor_model,minimum_variance,-0.061214,0.397958,0.011393,78
factor_model,risk_parity,-0.014325,0.173071,0.000511,78
ledoit_wolf,equal_weight,0.147266,-0.948721,0.040188,78
ledoit_wolf,hrp,0.046398,-0.271720,0.005423,78
ledoit_wolf,inverse_variance,0.096104,-0.604057,0.019932,78
ledoit_wolf,max_diversification,0.041831,-0.268473,0.004859,78
ledoit_wolf,minimum_variance,0.037598,-0.261743,0.004254,78
ledoit_wolf,risk_parity,0.080275,-0.497339,0.014746,78
rmt_hard,equal_weight,0.145327,-0.914051,0.038821,78
rmt_hard,hrp,0.024240,-0.121983,0.001526,78
rmt_hard,inverse_variance,0.064158,-0.377022,0.009562,78
rmt_hard,max_diversification,0.028437,-0.172745,0.002237,78
rmt_hard,minimum_variance,0.023677,-0.167172,0.001689,78
rmt_hard,risk_parity,0.062364,-0.358290,0.009138,78
rmt_rie,equal_weight,0.146171,-0.983025,0.039264,78
rmt_rie,hrp,0.023235,-0.175390,0.001407,78
rmt_rie,inverse_variance,0.062934,-0.430600,0.009255,78
rmt_rie,max_diversification,0.026630,-0.202689,0.001999,78
rmt_rie,minimum_variance,0.024953,-0.225375,0.001911,78
rmt_rie,risk_parity,0.063532,-0.427434,0.009482,78
rmt_soft,equal_weight,0.145295,-0.913752,0.038807,78
rmt_soft,hrp,0.024583,-0.124274,0.001560,78
rmt_soft,inverse_variance,0.062917,-0.368390,0.009230,78
rmt_soft,max_diversification,0.025201,-0.141882,0.001781,78
rmt_soft,minimum_variance,0.022522,-0.153907,0.001549,78
rmt_soft,risk_parity,0.062274,-0.357404,0.009114,78
sample,equal_weight,0.145446,-0.915069,0.038880,78
sample,hrp,0.022107,-0.105907,0.001277,78
sample,inverse_variance,0.062319,-0.363758,0.009074,78
sample,max_diversification,0.030262,-0.183021,0.002548,78
sample,minimum_variance,0.024112,-0.166812,0.001774,78
sample,risk_parity,0.062381,-0.358295,0.009144,78
