estimator,allocator,pred_vol_mean,real_vol_mean,bias_pct,mae_vol,rmse_vol,qlike,mse_var,corr_pred_real,avg_enb,sample_avg_cond,sample_avg_eff_rank,q,n
constant_corr,equal_weight,0.009370,0.008230,13.849260,0.004179,0.006548,0.919267,0.000000,0.112322,12.775402,2921.482625,4.469079,0.063492,78
constant_corr,hrp,0.004846,0.004893,-0.958611,0.001741,0.003079,0.449129,0.000000,0.126866,9.201030,2921.482625,4.469079,0.063492,78
constant_corr,inverse_variance,0.005526,0.005428,1.802881,0.002181,0.003839,0.513696,0.000000,0.100381,14.281139,2921.482625,4.469079,0.063492,78
constant_corr,max_diversification,0.005470,0.005529,-1.072079,0.001907,0.003287,0.358795,0.000000,0.078972,6.158739,2921.482625,4.469079,0.063492,78
constant_corr,minimum_variance,0.004867,0.005030,-3.243855,0.001627,0.002883,0.311598,0.000000,-0.004144,5.263357,2921.482625,4.469079,0.063492,78
constant_corr,risk_parity,0.005793,0.005585,3.727097,0.002215,0.003653,0.527218,0.000000,0.068360,16.000000,2921.482625,4.469079,0.063492,78
factor_model,equal_weight,0.009472,0.008230,15.087098,0.004220,0.006562,0.944113,0.000000,0.112480,12.737695,2921.482625,4.469079,0.063492,78
factor_model,hrp,0.004610,0.004837,-4.688597,0.001722,0.002982,0.412287,0.000000,0.212276,8.574766,2921.482625,4.469079,0.063492,78
factor_model,inverse_variance,0.005495,0.005428,1.241352,0.002152,0.003815,0.485895,0.000000,0.127713,13.709883,2921.482625,4.469079,0.063492,78
factor_model,max_diversification,0.004953,0.005753,-13.905839,0.001785,0.003112,0.256293,0.000000,0.104377,4.694071,2921.482625,4.469079,0.063492,78
factor_model,minimum_variance,0.004603,0.005204,-11.545218,0.001657,0.002826,0.266857,0.000000,0.052092,4.983953,2921.482625,4.469079,0.063492,78
factor_model,risk_parity,0.005368,0.005403,-0.637312,0.002033,0.003412,0.422635,0.000000,0.171484,16.000000,2921.482625,4.469079,0.063492,78
ledoit_wolf,equal_weight,0.009204,0.008230,11.826465,0.004074,0.006484,0.867065,0.000000,0.110623,12.783246,2921.482625,4.469079,0.063492,78
ledoit_wolf,hrp,0.005179,0.005134,0.887815,0.001936,0.003350,0.445018,0.000000,0.028232,10.131605,2921.482625,4.469079,0.063492,78
ledoit_wolf,inverse_variance,0.006117,0.005847,4.614956,0.002519,0.004240,0.602323,0.000000,0.045796,14.324762,2921.482625,4.469079,0.063492,78
ledoit_wolf,max_diversification,0.005406,0.005433,-0.502664,0.001883,0.003223,0.361750,0.000000,0.060114,6.567978,2921.482625,4.469079,0.063492,78
ledoit_wolf,minimum_variance,0.004908,0.005029,-2.406679,0.001644,0.002907,0.323325,0.000000,-0.007538,5.494402,2921.482625,4.469079,0.063492,78
ledoit_wolf,risk_parity,0.006005,0.005766,4.149930,0.002331,0.003802,0.543111,0.000000,0.022768,16.000000,2921.482625,4.469079,0.063492,78
rmt_hard,equal_weight,0.009396,0.008230,14.161914,0.004194,0.006556,0.927121,0.000000,0.112839,12.755473,2921.482625,4.469079,0.063492,78
rmt_hard,hrp,0.004848,0.004913,-1.332065,0.001764,0.003196,0.443735,0.000000,0.116515,9.211230,2921.482625,4.469079,0.063492,78
rmt_hard,inverse_variance,0.005557,0.005463,1.716985,0.002203,0.003911,0.516931,0.000000,0.094518,14.287113,2921.482625,4.469079,0.063492,78
rmt_hard,max_diversification,0.005394,0.005464,-1.273533,0.001886,0.003233,0.354971,0.000000,0.072251,5.919137,2921.482625,4.469079,0.063492,78
rmt_hard,minimum_variance,0.004853,0.005042,-3.744354,0.001632,0.002934,0.311495,0.000000,-0.009539,5.175349,2921.482625,4.469079,0.063492,78
