estimator,allocator,slope_logbias_vs_logcond,intercept,r2,n
constant_corr,equal_weight,0.620311,-3.170964,0.436059,36
constant_corr,hrp,0.532908,-2.750098,0.400295,36
constant_corr,inverse_variance,0.567526,-2.912794,0.407923,36
constant_corr,max_diversification,0.428356,-2.286395,0.373083,36
constant_corr,minimum_variance,0.421995,-2.282265,0.347787,36
constant_corr,risk_parity,0.578746,-2.984756,0.424112,36
factor_model,equal_weight,0.607663,-3.081732,0.425965,36
factor_model,hrp,0.557206,-2.964893,0.407560,36
factor_model,inverse_variance,0.579624,-3.005211,0.407984,36
factor_model,max_diversification,0.518592,-2.898009,0.418120,36
factor_model,minimum_variance,0.473032,-2.741324,0.376178,36
factor_model,risk_parity,0.610378,-3.190883,0.438018,36
ledoit_wolf,equal_weight,0.572840,-2.996116,0.372270,36
ledoit_wolf,hrp,0.496663,-2.612419,0.341805,36
ledoit_wolf,inverse_variance,0.546027,-2.856499,0.355784,36
ledoit_wolf,max_diversification,0.419645,-2.268399,0.317974,36
ledoit_wolf,minimum_variance,0.417309,-2.249828,0.319620,36
ledoit_wolf,risk_parity,0.537832,-2.832811,0.361218,36
rmt_hard,equal_weight,0.620813,-3.169898,0.436785,36
rmt_hard,hrp,0.539617,-2.789131,0.406222,36
rmt_hard,inverse_variance,0.566645,-2.910413,0.408834,36
rmt_hard,max_diversification,0.441535,-2.371362,0.370575,36
rmt_hard,minimum_variance,0.438497,-2.391347,0.363369,36
rmt_hard,risk_parity,0.584246,-3.014662,0.426361,36
rmt_rie,equal_weight,0.635192,-3.351402,0.446252,36
rmt_rie,hrp,0.547295,-2.928498,0.417232,36
rmt_rie,inverse_variance,0.581415,-3.089498,0.419797,36
rmt_rie,max_diversification,0.443884,-2.446685,0.369629,36
rmt_rie,minimum_variance,0.430163,-2.413472,0.353765,36
rmt_rie,risk_parity,0.594790,-3.172384,0.434089,36
rmt_soft,equal_weight,0.619695,-3.162953,0.436013,36
rmt_soft,hrp,0.533960,-2.757214,0.401343,36
rmt_soft,inverse_variance,0.564309,-2.893956,0.406226,36
rmt_soft,max_diversification,0.435471,-2.316992,0.367498,36
rmt_soft,minimum_variance,0.418787,-2.261441,0.339528,36
rmt_soft,risk_parity,0.581215,-2.995446,0.423946,36
sample,equal_weight,0.619874,-3.164121,0.436190,36
sample,hrp,0.532869,-2.745723,0.400609,36
sample,inverse_variance,0.567186,-2.906621,0.407652,36
sample,max_diversification,0.438507,-2.344516,0.375738,36
sample,minimum_variance,0.430033,-2.327571,0.348497,36
sample,risk_parity,0.581517,-2.997376,0.424145,36
