date,estimator,allocator,pred_vol,real_vol,pred_var,real_var,enb,hhi,cond_number,eff_rank,top1_share,q,lambda_max,lambda_min
2022-12-01,sample,equal_weight,0.015999,0.011615,0.000256,0.000135,24.630194,0.033333,587.829771,6.465686,0.427767,0.250000,0.010194,0.000017
2022-12-01,sample,inverse_variance,0.012338,0.009327,0.000152,0.000087,26.192045,0.048954,587.829771,6.465686,0.427767,0.250000,0.010194,0.000017
2022-12-01,sample,minimum_variance,0.009357,0.007516,0.000088,0.000056,5.307518,0.193107,587.829771,6.465686,0.427767,0.250000,0.010194,0.000017
2022-12-01,sample,risk_parity,0.013455,0.010089,0.000181,0.000102,30.000000,0.039263,587.829771,6.465686,0.427767,0.250000,0.010194,0.000017
2022-12-01,sample,hrp,0.011548,0.008821,0.000133,0.000078,22.410296,0.063208,587.829771,6.465686,0.427767,0.250000,0.010194,0.000017
2022-12-01,sample,max_diversification,0.012866,0.009335,0.000166,0.000087,7.222581,0.139753,587.829771,6.465686,0.427767,0.250000,0.010194,0.000017
2022-12-01,ledoit_wolf,equal_weight,0.012305,0.011615,0.000151,0.000135,25.309837,0.033333,587.829771,6.465686,0.427767,0.250000,0.010194,0.000017
2022-12-01,ledoit_wolf,inverse_variance,0.010988,0.010514,0.000121,0.000111,28.648459,0.036373,587.829771,6.465686,0.427767,0.250000,0.010194,0.000017
2022-12-01,ledoit_wolf,minimum_variance,0.009343,0.008343,0.000087,0.000070,13.350905,0.074903,587.829771,6.465686,0.427767,0.250000,0.010194,0.000017
2022-12-01,ledoit_wolf,risk_parity,0.010869,0.010349,0.000118,0.000107,30.000000,0.036921,587.829771,6.465686,0.427767,0.250000,0.010194,0.000017
2022-12-01,ledoit_wolf,hrp,0.010267,0.009713,0.000105,0.000094,27.142435,0.042019,587.829771,6.465686,0.427767,0.250000,0.010194,0.000017
2022-12-01,ledoit_wolf,max_diversification,0.009887,0.008826,0.000098,0.000078,16.664166,0.063550,587.829771,6.465686,0.427767,0.250000,0.010194,0.000017
2022-12-01,constant_corr,equal_weight,0.015933,0.011615,0.000254,0.000135,24.630194,0.033333,587.829771,6.465686,0.427767,0.250000,0.010194,0.000017
2022-12-01,constant_corr,inverse_variance,0.012286,0.009327,0.000151,0.000087,26.192045,0.048954,587.829771,6.465686,0.427767,0.250000,0.010194,0.000017
2022-12-01,constant_corr,minimum_variance,0.009318,0.007516,0.000087,0.000056,5.307603,0.193104,587.829771,6.465686,0.427767,0.250000,0.010194,0.000017
