cost_bps,universe,estimator,allocator,window,frequency,sigma_method,sharpe,sharpe_net,ann_return_net,ann_volatility,max_drawdown,calmar,avg_turnover,avg_enb,avg_dr,sharpe_per_turnover
0.000000,us_sector_etf,sample,equal_weight,252,monthly,median_bulk,0.634706,0.634706,0.095048,0.167495,0.280438,0.338928,0.020799,12.755547,1.405249,30.516663
0.000000,us_sector_etf,sample,inverse_variance,252,monthly,median_bulk,0.366133,0.366133,0.036850,0.119183,0.190198,0.193743,0.033023,14.264592,1.679073,11.087355
0.000000,us_sector_etf,sample,minimum_variance,252,monthly,median_bulk,0.328913,0.328913,0.029346,0.105165,0.174860,0.167825,0.057698,5.255054,1.838559,5.700601
0.000000,us_sector_etf,sample,risk_parity,252,monthly,median_bulk,0.457905,0.457905,0.046666,0.114553,0.178762,0.261050,0.029391,16.000000,1.756337,15.579738
0.000000,us_sector_etf,sample,hrp,252,monthly,median_bulk,0.261403,0.261403,0.021869,0.104027,0.208919,0.104676,0.071022,9.118829,1.727691,3.680573
0.000000,us_sector_etf,sample,max_diversification,252,monthly,median_bulk,0.380793,0.380793,0.032330,0.096019,0.166206,0.194521,0.090944,5.359632,1.990132,4.187117
0.000000,us_sector_etf,ledoit_wolf,equal_weight,252,monthly,median_bulk,0.634706,0.634706,0.095048,0.167495,0.280438,0.338928,0.020799,12.783246,1.435755,30.516663
0.000000,us_sector_etf,ledoit_wolf,inverse_variance,252,monthly,median_bulk,0.476187,0.476187,0.053323,0.126882,0.198953,0.268019,0.030448,14.324762,1.669094,15.639568
0.000000,us_sector_etf,ledoit_wolf,minimum_variance,252,monthly,median_bulk,0.343222,0.343222,0.030976,0.105498,0.174512,0.177500,0.055529,5.494402,1.884278,6.180908
0.000000,us_sector_etf,ledoit_wolf,risk_parity,252,monthly,median_bulk,0.500901,0.500901,0.053580,0.118933,0.178823,0.299624,0.027602,16.000000,1.788891,18.147599
0.000000,us_sector_etf,ledoit_wolf,hrp,252,monthly,median_bulk,0.357647,0.357647,0.033638,0.109903,0.183810,0.183002,0.072332,10.126961,1.780737,4.944484
0.000000,us_sector_etf,ledoit_wolf,max_diversification,252,monthly,median_bulk,0.398655,0.398655,0.036623,0.104318,0.160216,0.228582,0.075296,6.188832,2.012163,5.294485
0.000000,us_sector_etf,constant_corr,equal_weight,252,monthly,median_bulk,0.634706,0.634706,0.095048,0.167495,0.280438,0.338928,0.020799,12.775402,1.406074,30.516663
0.000000,us_sector_etf,constant_corr,inverse_variance,252,monthly,median_bulk,0.366133,0.366133,0.036850,0.119183,0.190198,0.193743,0.033023,14.281139,1.676448,11.087355
0.000000,us_sector_etf,constant_corr,minimum_variance,252,monthly,median_bulk,0.326421,0.326421,0.029073,0.105139,0.174781,0.166339,0.057452,5.263357,1.830250,5.681611
0.000000,us_sector_etf,constant_corr,risk_parity,252,monthly,median_bulk,0.458295,0.458295,0.046848,0.114935,0.178790,0.262027,0.029344,16.000000,1.750906,15.618203
0.000000,us_sector_etf,constant_corr,hrp,252,monthly,median_bulk,0.257192,0.257192,0.021477,0.104380,0.215209,0.099794,0.069879,9.114945,1.724388,3.680549
0.000000,us_sector_etf,constant_corr,max_diversification,252,monthly,median_bulk,0.382239,0.382239,0.032817,0.097198,0.166116,0.197555,0.090276,5.422083,1.980820,4.234122
0.000000,us_sector_etf,rmt_hard,equal_weight,252,monthly,median_bulk,0.634706,0.634706,0.095048,0.167495,0.280438,0.338928,0.020799,12.755473,1.403608,30.516663
0.000000,us_sector_etf,rmt_hard,inverse_variance,252,monthly,median_bulk,0.360213,0.360213,0.036439,0.120595,0.194769,0.187087,0.034118,14.287113,1.677486,10.557959
0.000000,us_sector_etf,rmt_hard,minimum_variance,252,monthly,median_bulk,0.325019,0.325019,0.029186,0.106402,0.173133,0.168574,0.060202,5.175349,1.842153,5.398766
0.000000,us_sector_etf,rmt_hard,risk_parity,252,monthly,median_bulk,0.458081,0.458081,0.046687,0.114553,0.178625,0.261370,0.029402,16.000000,1.757374,15.579731
0.000000,us_sector_etf,rmt_hard,hrp,252,monthly,median_bulk,0.278358,0.278358,0.023837,0.105011,0.210231,0.113387,0.078214,9.233026,1.727118,3.558919
0.000000,us_sector_etf,rmt_hard,max_diversification,252,monthly,median_bulk,0.381131,0.381131,0.032608,0.096889,0.160519,0.203143,0.095182,5.396956,1.992306,4.004247
