cost_bps,estimator,sharpe_net,sharpe,ann_volatility,avg_turnover,avg_enb
0.000000,constant_corr,0.404164,0.404164,0.118055,0.050129,10.476154
0.000000,factor_model,0.390866,0.390866,0.114348,0.047232,10.140462
0.000000,ledoit_wolf,0.451886,0.451886,0.122171,0.047001,10.819700
0.000000,rmt_hard,0.406251,0.406251,0.118491,0.052986,10.474653
0.000000,rmt_rie,0.400413,0.400413,0.118197,0.050204,10.566705
0.000000,rmt_soft,0.404198,0.404198,0.118080,0.050751,10.496136
0.000000,sample,0.404976,0.404976,0.117740,0.050479,10.458942
5.000000,constant_corr,0.401404,0.404164,0.118055,0.050129,10.476154
5.000000,factor_model,0.388166,0.390866,0.114348,0.047232,10.140462
5.000000,ledoit_wolf,0.449424,0.451886,0.122171,0.047001,10.819700
5.000000,rmt_hard,0.403340,0.406251,0.118491,0.052986,10.474653
5.000000,rmt_rie,0.397655,0.400413,0.118197,0.050204,10.566705
5.000000,rmt_soft,0.401400,0.404198,0.118080,0.050751,10.496136
5.000000,sample,0.402181,0.404976,0.117740,0.050479,10.458942
10.000000,constant_corr,0.398642,0.404164,0.118055,0.050129,10.476154
10.000000,factor_model,0.385464,0.390866,0.114348,0.047232,10.140462
10.000000,ledoit_wolf,0.446961,0.451886,0.122171,0.047001,10.819700
10.000000,rmt_hard,0.400427,0.406251,0.118491,0.052986,10.474653
10.000000,rmt_rie,0.394896,0.400413,0.118197,0.050204,10.566705
10.000000,rmt_soft,0.398601,0.404198,0.118080,0.050751,10.496136
10.000000,sample,0.399386,0.404976,0.117740,0.050479,10.458942
20.000000,constant_corr,0.393114,0.404164,0.118055,0.050129,10.476154
20.000000,factor_model,0.380058,0.390866,0.114348,0.047232,10.140462
20.000000,ledoit_wolf,0.442033,0.451886,0.122171,0.047001,10.819700
20.000000,rmt_hard,0.394598,0.406251,0.118491,0.052986,10.474653
20.000000,rmt_rie,0.389374,0.400413,0.118197,0.050204,10.566705
20.000000,rmt_soft,0.392999,0.404198,0.118080,0.050751,10.496136
20.000000,sample,0.393791,0.404976,0.117740,0.050479,10.458942
40.000000,constant_corr,0.382045,0.404164,0.118055,0.050129,10.476154
40.000000,factor_model,0.369233,0.390866,0.114348,0.047232,10.140462
40.000000,ledoit_wolf,0.432165,0.451886,0.122171,0.047001,10.819700
40.000000,rmt_hard,0.382923,0.406251,0.118491,0.052986,10.474653
40.000000,rmt_rie,0.378319,0.400413,0.118197,0.050204,10.566705
40.000000,rmt_soft,0.381781,0.404198,0.118080,0.050751,10.496136
40.000000,sample,0.382587,0.404976,0.117740,0.050479,10.458942
