frequency,universe,estimator,allocator,window,cost_bps,sigma_method,sharpe,sharpe_net,ann_return_net,ann_volatility,max_drawdown,calmar,avg_turnover,avg_enb,avg_dr,sharpe_per_turnover
weekly,us_sector_etf,sample,equal_weight,252,10.000000,median_bulk,0.669091,0.666149,0.093789,0.151947,0.298648,0.315665,0.008746,12.757316,1.404375,76.166560
weekly,us_sector_etf,sample,inverse_variance,252,10.000000,median_bulk,0.476976,0.470949,0.041590,0.096416,0.192415,0.219288,0.011508,14.277846,1.677071,40.924648
weekly,us_sector_etf,sample,minimum_variance,252,10.000000,median_bulk,0.466965,0.453553,0.034922,0.083382,0.176761,0.204141,0.022314,5.260466,1.838552,20.326222
weekly,us_sector_etf,sample,risk_parity,252,10.000000,median_bulk,0.564714,0.558943,0.050455,0.096415,0.192928,0.264551,0.011039,16.000000,1.755119,50.631958
weekly,us_sector_etf,sample,hrp,252,10.000000,median_bulk,0.422945,0.400064,0.030005,0.082420,0.182550,0.175027,0.037479,9.112907,1.726728,10.674380
weekly,us_sector_etf,sample,max_diversification,252,10.000000,median_bulk,0.436494,0.415204,0.033331,0.088373,0.173614,0.203169,0.037255,5.361110,1.988739,11.144984
weekly,us_sector_etf,ledoit_wolf,equal_weight,252,10.000000,median_bulk,0.669091,0.666149,0.093789,0.151947,0.298648,0.315665,0.008746,12.785591,1.435466,76.166560
weekly,us_sector_etf,ledoit_wolf,inverse_variance,252,10.000000,median_bulk,0.548387,0.542967,0.054066,0.107668,0.197282,0.277144,0.011462,14.321332,1.667541,47.371171
weekly,us_sector_etf,ledoit_wolf,minimum_variance,252,10.000000,median_bulk,0.480263,0.467094,0.036172,0.083583,0.176117,0.211881,0.021915,5.503743,1.884714,21.314158
weekly,us_sector_etf,ledoit_wolf,risk_parity,252,10.000000,median_bulk,0.589374,0.583959,0.055486,0.101291,0.193070,0.290367,0.010815,16.000000,1.788325,53.994149
