frequency,estimator,sharpe_net,sharpe,ann_volatility,avg_turnover,avg_enb
monthly,constant_corr,0.398642,0.404164,0.118055,0.050129,10.476154
monthly,factor_model,0.385464,0.390866,0.114348,0.047232,10.140462
monthly,ledoit_wolf,0.446961,0.451886,0.122171,0.047001,10.819700
monthly,rmt_hard,0.400427,0.406251,0.118491,0.052986,10.474653
monthly,rmt_rie,0.394896,0.400413,0.118197,0.050204,10.566705
monthly,rmt_soft,0.398601,0.404198,0.118080,0.050751,10.496136
monthly,sample,0.399386,0.404976,0.117740,0.050479,10.458942
quarterly,constant_corr,0.473857,0.477952,0.112411,0.107050,10.435802
quarterly,factor_model,0.454719,0.458585,0.109833,0.096736,10.098543
quarterly,ledoit_wolf,0.507463,0.510898,0.119029,0.097334,10.778589
quarterly,rmt_hard,0.472516,0.476595,0.112013,0.106224,10.445197
quarterly,rmt_rie,0.474039,0.478080,0.112240,0.105247,10.545623
quarterly,rmt_soft,0.472753,0.476830,0.112214,0.106378,10.454177
quarterly,sample,0.475309,0.479482,0.111942,0.108145,10.410849
weekly,constant_corr,0.496708,0.508595,0.099944,0.021133,10.483662
weekly,factor_model,0.465619,0.476990,0.098550,0.019859,10.152641
weekly,ledoit_wolf,0.528419,0.539252,0.104018,0.020126,10.827754
weekly,rmt_hard,0.491595,0.504209,0.099687,0.022245,10.482648
weekly,rmt_rie,0.475823,0.488722,0.099981,0.022918,10.567388
weekly,rmt_soft,0.494521,0.506665,0.099581,0.021443,10.509788
weekly,sample,0.494144,0.506198,0.099826,0.021390,10.461608
