sigma_method,universe,estimator,allocator,window,frequency,cost_bps,sharpe,sharpe_net,ann_return_net,ann_volatility,max_drawdown,calmar,avg_turnover,avg_enb,avg_dr,sharpe_per_turnover
median_bulk,us_sector_etf,sample,equal_weight,252,monthly,10.000000,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.755547,1.405249,30.446443
median_bulk,us_sector_etf,sample,inverse_variance,252,monthly,10.000000,0.366133,0.362866,0.036442,0.119183,0.190198,0.193743,0.033023,14.264592,1.679073,10.988413
median_bulk,us_sector_etf,sample,minimum_variance,252,monthly,10.000000,0.328913,0.322476,0.028639,0.105165,0.174860,0.167825,0.057698,5.255054,1.838559,5.589045
median_bulk,us_sector_etf,sample,risk_parity,252,monthly,10.000000,0.457905,0.454877,0.046300,0.114553,0.178762,0.261050,0.029391,16.000000,1.756337,15.476710
median_bulk,us_sector_etf,sample,hrp,252,monthly,10.000000,0.261403,0.253255,0.021001,0.104027,0.208919,0.104676,0.071022,9.118829,1.727691,3.565846
median_bulk,us_sector_etf,sample,max_diversification,252,monthly,10.000000,0.380793,0.369596,0.031211,0.096019,0.166206,0.194521,0.090944,5.359632,1.990132,4.064003
median_bulk,us_sector_etf,ledoit_wolf,equal_weight,252,monthly,10.000000,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.783246,1.435755,30.446443
median_bulk,us_sector_etf,ledoit_wolf,inverse_variance,252,monthly,10.000000,0.476187,0.473390,0.052943,0.126882,0.198953,0.268019,0.030448,14.324762,1.669094,15.547718
median_bulk,us_sector_etf,ledoit_wolf,minimum_variance,252,monthly,10.000000,0.343222,0.337042,0.030295,0.105498,0.174512,0.177500,0.055529,5.494402,1.884278,6.069615
median_bulk,us_sector_etf,ledoit_wolf,risk_parity,252,monthly,10.000000,0.500901,0.498167,0.053234,0.118933,0.178823,0.299624,0.027602,16.000000,1.788891,18.048556
