sigma_method,estimator,sharpe_net,sharpe,ann_volatility,avg_turnover,avg_enb
cdf_fit,ledoit_wolf,0.4469615,0.45188633333333333,0.12217149999999999,0.047000999999999994,10.819700500000001
cdf_fit,rmt_hard,0.40114099999999997,0.40681083333333334,0.11834133333333334,0.05145033333333333,10.486385
cdf_fit,rmt_rie,0.39489633333333335,0.4004135,0.11819666666666667,0.050204500000000006,10.566705166666667
cdf_fit,rmt_soft,0.39779866666666663,0.40336666666666665,0.11809449999999999,0.05051049999999999,10.521776333333333
cdf_fit,sample,0.399386,0.4049755,0.11774033333333334,0.050479500000000004,10.458942333333335
max_eigen,ledoit_wolf,0.4469615,0.45188633333333333,0.12217149999999999,0.047000999999999994,10.819700500000001
max_eigen,rmt_hard,0.24306583333333331,0.2563185,0.1310505,0.13798783333333334,10.498297166666667
max_eigen,rmt_rie,0.39489633333333335,0.4004135,0.11819666666666667,0.050204500000000006,10.566705166666667
max_eigen,rmt_soft,0.34283633333333335,0.348724,0.11448466666666667,0.0517265,10.422846666666667
max_eigen,sample,0.399386,0.4049755,0.11774033333333334,0.050479500000000004,10.458942333333335
mean_bulk,ledoit_wolf,0.4469615,0.45188633333333333,0.12217149999999999,0.047000999999999994,10.819700500000001
mean_bulk,rmt_hard,0.39940183333333334,0.40505083333333336,0.11845283333333334,0.051324666666666664,10.485958166666666
mean_bulk,rmt_rie,0.39489633333333335,0.4004135,0.11819666666666667,0.050204500000000006,10.566705166666667
mean_bulk,rmt_soft,0.39765049999999996,0.40317933333333333,0.11813783333333333,0.05024933333333333,10.524345666666667
mean_bulk,sample,0.399386,0.4049755,0.11774033333333334,0.050479500000000004,10.458942333333335
median_bulk,ledoit_wolf,0.4469615,0.45188633333333333,0.12217149999999999,0.047000999999999994,10.819700500000001
median_bulk,rmt_hard,0.4004271666666666,0.40625133333333335,0.11849083333333332,0.05298616666666667,10.474652833333334
median_bulk,rmt_rie,0.39489633333333335,0.4004135,0.11819666666666667,0.050204500000000006,10.566705166666667
median_bulk,rmt_soft,0.3986011666666667,0.40419783333333337,0.11807983333333333,0.050751333333333336,10.496135833333334
median_bulk,sample,0.399386,0.4049755,0.11774033333333334,0.050479500000000004,10.458942333333335
