lambda_plus_mult,universe,estimator,allocator,window,frequency,cost_bps,sigma_method,sharpe,sharpe_net,ann_return_net,ann_volatility,max_drawdown,calmar,avg_turnover,avg_enb,avg_dr,sharpe_per_turnover
0.850000,us_sector_etf,sample,equal_weight,252,monthly,10.000000,median_bulk,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.755547,1.405249,30.446443
0.850000,us_sector_etf,sample,inverse_variance,252,monthly,10.000000,median_bulk,0.366133,0.362866,0.036442,0.119183,0.190198,0.193743,0.033023,14.264592,1.679073,10.988413
0.850000,us_sector_etf,sample,minimum_variance,252,monthly,10.000000,median_bulk,0.328913,0.322476,0.028639,0.105165,0.174860,0.167825,0.057698,5.255054,1.838559,5.589045
0.850000,us_sector_etf,sample,risk_parity,252,monthly,10.000000,median_bulk,0.457905,0.454877,0.046300,0.114553,0.178762,0.261050,0.029391,16.000000,1.756337,15.476710
0.850000,us_sector_etf,sample,hrp,252,monthly,10.000000,median_bulk,0.261403,0.253255,0.021001,0.104027,0.208919,0.104676,0.071022,9.118829,1.727691,3.565846
0.850000,us_sector_etf,sample,max_diversification,252,monthly,10.000000,median_bulk,0.380793,0.369596,0.031211,0.096019,0.166206,0.194521,0.090944,5.359632,1.990132,4.064003
0.850000,us_sector_etf,rmt_hard,equal_weight,252,monthly,10.000000,median_bulk,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.755737,1.403564,30.446443
0.850000,us_sector_etf,rmt_hard,inverse_variance,252,monthly,10.000000,median_bulk,0.361590,0.358286,0.036131,0.120315,0.193882,0.188501,0.033710,14.301153,1.678402,10.628413
0.850000,us_sector_etf,rmt_hard,minimum_variance,252,monthly,10.000000,median_bulk,0.342775,0.336231,0.030079,0.104947,0.174585,0.176388,0.058244,5.186944,1.843837,5.772798
0.850000,us_sector_etf,rmt_hard,risk_parity,252,monthly,10.000000,median_bulk,0.458215,0.455190,0.046338,0.114555,0.178654,0.261421,0.029359,16.000000,1.757213,15.504083
0.850000,us_sector_etf,rmt_hard,hrp,252,monthly,10.000000,median_bulk,0.264309,0.255869,0.021290,0.104115,0.208656,0.106364,0.074153,9.184189,1.729816,3.450543
0.850000,us_sector_etf,rmt_hard,max_diversification,252,monthly,10.000000,median_bulk,0.384535,0.373028,0.031738,0.096695,0.162630,0.202243,0.093454,5.360939,1.993042,3.991587
0.850000,us_sector_etf,rmt_soft,equal_weight,252,monthly,10.000000,median_bulk,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.755085,1.410127,30.446443
0.850000,us_sector_etf,rmt_soft,inverse_variance,252,monthly,10.000000,median_bulk,0.361757,0.358478,0.036048,0.119845,0.192640,0.189261,0.033335,14.296467,1.686680,10.753945
0.850000,us_sector_etf,rmt_soft,minimum_variance,252,monthly,10.000000,median_bulk,0.331009,0.324620,0.028874,0.105181,0.174622,0.169369,0.057275,5.248671,1.841960,5.667729
0.850000,us_sector_etf,rmt_soft,risk_parity,252,monthly,10.000000,median_bulk,0.457944,0.454918,0.046307,0.114560,0.178733,0.261133,0.029373,16.000000,1.762781,15.487867
0.850000,us_sector_etf,rmt_soft,hrp,252,monthly,10.000000,median_bulk,0.267011,0.258949,0.021594,0.103967,0.206913,0.108523,0.070600,9.125052,1.735626,3.667839
0.850000,us_sector_etf,rmt_soft,max_diversification,252,monthly,10.000000,median_bulk,0.386237,0.375089,0.031948,0.096730,0.163915,0.201743,0.090960,5.516868,1.991958,4.123685
0.900000,us_sector_etf,sample,equal_weight,252,monthly,10.000000,median_bulk,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.755547,1.405249,30.446443
0.900000,us_sector_etf,sample,inverse_variance,252,monthly,10.000000,median_bulk,0.366133,0.362866,0.036442,0.119183,0.190198,0.193743,0.033023,14.264592,1.679073,10.988413
0.900000,us_sector_etf,sample,minimum_variance,252,monthly,10.000000,median_bulk,0.328913,0.322476,0.028639,0.105165,0.174860,0.167825,0.057698,5.255054,1.838559,5.589045
0.900000,us_sector_etf,sample,risk_parity,252,monthly,10.000000,median_bulk,0.457905,0.454877,0.046300,0.114553,0.178762,0.261050,0.029391,16.000000,1.756337,15.476710
0.900000,us_sector_etf,sample,hrp,252,monthly,10.000000,median_bulk,0.261403,0.253255,0.021001,0.104027,0.208919,0.104676,0.071022,9.118829,1.727691,3.565846
0.900000,us_sector_etf,sample,max_diversification,252,monthly,10.000000,median_bulk,0.380793,0.369596,0.031211,0.096019,0.166206,0.194521,0.090944,5.359632,1.990132,4.064003
0.900000,us_sector_etf,rmt_hard,equal_weight,252,monthly,10.000000,median_bulk,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.755629,1.403548,30.446443
0.900000,us_sector_etf,rmt_hard,inverse_variance,252,monthly,10.000000,median_bulk,0.359690,0.356402,0.035950,0.120558,0.194769,0.186705,0.033625,14.297181,1.678131,10.599345
0.900000,us_sector_etf,rmt_hard,minimum_variance,252,monthly,10.000000,median_bulk,0.328897,0.322470,0.028852,0.106209,0.173783,0.170127,0.058291,5.185193,1.843198,5.532038
0.900000,us_sector_etf,rmt_hard,risk_parity,252,monthly,10.000000,median_bulk,0.458142,0.455118,0.046328,0.114552,0.178635,0.261395,0.029356,16.000000,1.757274,15.503450
0.900000,us_sector_etf,rmt_hard,hrp,252,monthly,10.000000,median_bulk,0.263687,0.255170,0.021293,0.104660,0.210447,0.105528,0.075080,9.207955,1.728768,3.398632
0.900000,us_sector_etf,rmt_hard,max_diversification,252,monthly,10.000000,median_bulk,0.376708,0.365544,0.031041,0.096879,0.162715,0.197664,0.091072,5.377128,1.992428,4.013781
0.900000,us_sector_etf,rmt_soft,equal_weight,252,monthly,10.000000,median_bulk,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.755048,1.410715,30.446443
0.900000,us_sector_etf,rmt_soft,inverse_variance,252,monthly,10.000000,median_bulk,0.361201,0.357923,0.036002,0.119949,0.193019,0.188653,0.033348,14.296581,1.687352,10.733038
0.900000,us_sector_etf,rmt_soft,minimum_variance,252,monthly,10.000000,median_bulk,0.331074,0.324690,0.028899,0.105262,0.174338,0.169785,0.057257,5.248939,1.842357,5.670744
0.900000,us_sector_etf,rmt_soft,risk_parity,252,monthly,10.000000,median_bulk,0.457923,0.454899,0.046306,0.114564,0.178728,0.261134,0.029358,16.000000,1.763550,15.494757
0.900000,us_sector_etf,rmt_soft,hrp,252,monthly,10.000000,median_bulk,0.267319,0.259213,0.021654,0.104175,0.210508,0.106985,0.071047,9.147582,1.736334,3.648452
0.900000,us_sector_etf,rmt_soft,max_diversification,252,monthly,10.000000,median_bulk,0.385109,0.374054,0.031866,0.096808,0.163989,0.201102,0.090324,5.521774,1.992280,4.141224
1.000000,us_sector_etf,sample,equal_weight,252,monthly,10.000000,median_bulk,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.755547,1.405249,30.446443
1.000000,us_sector_etf,sample,inverse_variance,252,monthly,10.000000,median_bulk,0.366133,0.362866,0.036442,0.119183,0.190198,0.193743,0.033023,14.264592,1.679073,10.988413
1.000000,us_sector_etf,sample,minimum_variance,252,monthly,10.000000,median_bulk,0.328913,0.322476,0.028639,0.105165,0.174860,0.167825,0.057698,5.255054,1.838559,5.589045
1.000000,us_sector_etf,sample,risk_parity,252,monthly,10.000000,median_bulk,0.457905,0.454877,0.046300,0.114553,0.178762,0.261050,0.029391,16.000000,1.756337,15.476710
