lambda_plus_mult,estimator,sharpe_net,sharpe,ann_volatility,avg_turnover,avg_enb
0.850000,rmt_hard,0.401975,0.407689,0.118020,0.051620,10.464827
0.850000,rmt_soft,0.400883,0.406444,0.117963,0.050390,10.490357
0.850000,sample,0.399386,0.404976,0.117740,0.050479,10.458942
0.900000,rmt_hard,0.397992,0.403638,0.118392,0.051371,10.470514
0.900000,rmt_soft,0.400671,0.406222,0.118042,0.050356,10.494987
0.900000,sample,0.399386,0.404976,0.117740,0.050479,10.458942
1.000000,rmt_hard,0.400427,0.406251,0.118491,0.052986,10.474653
1.000000,rmt_soft,0.398601,0.404198,0.118080,0.050751,10.496136
1.000000,sample,0.399386,0.404976,0.117740,0.050479,10.458942
1.100000,rmt_hard,0.402998,0.408752,0.118417,0.052268,10.478899
1.100000,rmt_soft,0.398926,0.404458,0.118075,0.050192,10.505969
1.100000,sample,0.399386,0.404976,0.117740,0.050479,10.458942
1.150000,rmt_hard,0.404757,0.410662,0.118390,0.053514,10.484343
1.150000,rmt_soft,0.399422,0.404961,0.118118,0.050310,10.520078
1.150000,sample,0.399386,0.404976,0.117740,0.050479,10.458942
