universe,estimator,allocator,window,frequency,cost_bps,sigma_method,sharpe,sharpe_net,ann_return_net,ann_volatility,max_drawdown,calmar,avg_turnover,avg_enb,avg_dr,sharpe_per_turnover
us_sector_etf,sample,equal_weight,252,monthly,10.000000,median_bulk,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.755547,1.405249,30.446443
us_sector_etf,sample,inverse_variance,252,monthly,10.000000,median_bulk,0.366133,0.362866,0.036442,0.119183,0.190198,0.193743,0.033023,14.264592,1.679073,10.988413
us_sector_etf,sample,minimum_variance,252,monthly,10.000000,median_bulk,0.328913,0.322476,0.028639,0.105165,0.174860,0.167825,0.057698,5.255054,1.838559,5.589045
us_sector_etf,sample,risk_parity,252,monthly,10.000000,median_bulk,0.457905,0.454877,0.046300,0.114553,0.178762,0.261050,0.029391,16.000000,1.756337,15.476710
us_sector_etf,sample,hrp,252,monthly,10.000000,median_bulk,0.261403,0.253255,0.021001,0.104027,0.208919,0.104676,0.071022,9.118829,1.727691,3.565846
us_sector_etf,sample,max_diversification,252,monthly,10.000000,median_bulk,0.380793,0.369596,0.031211,0.096019,0.166206,0.194521,0.090944,5.359632,1.990132,4.064003
us_sector_etf,ledoit_wolf,equal_weight,252,monthly,10.000000,median_bulk,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.783246,1.435755,30.446443
us_sector_etf,ledoit_wolf,inverse_variance,252,monthly,10.000000,median_bulk,0.476187,0.473390,0.052943,0.126882,0.198953,0.268019,0.030448,14.324762,1.669094,15.547718
us_sector_etf,ledoit_wolf,minimum_variance,252,monthly,10.000000,median_bulk,0.343222,0.337042,0.030295,0.105498,0.174512,0.177500,0.055529,5.494402,1.884278,6.069615
us_sector_etf,ledoit_wolf,risk_parity,252,monthly,10.000000,median_bulk,0.500901,0.498167,0.053234,0.118933,0.178823,0.299624,0.027602,16.000000,1.788891,18.048556
us_sector_etf,ledoit_wolf,hrp,252,monthly,10.000000,median_bulk,0.357647,0.349794,0.032744,0.109903,0.183810,0.183002,0.072332,10.126961,1.780737,4.835919
us_sector_etf,ledoit_wolf,max_diversification,252,monthly,10.000000,median_bulk,0.398655,0.390130,0.035693,0.104318,0.160216,0.228582,0.075296,6.188832,2.012163,5.181264
us_sector_etf,constant_corr,equal_weight,252,monthly,10.000000,median_bulk,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.775402,1.406074,30.446443
us_sector_etf,constant_corr,inverse_variance,252,monthly,10.000000,median_bulk,0.366133,0.362866,0.036442,0.119183,0.190198,0.193743,0.033023,14.281139,1.676448,10.988413
us_sector_etf,constant_corr,minimum_variance,252,monthly,10.000000,median_bulk,0.326421,0.320008,0.028370,0.105139,0.174781,0.166339,0.057452,5.263357,1.830250,5.569988
us_sector_etf,constant_corr,risk_parity,252,monthly,10.000000,median_bulk,0.458295,0.455280,0.046482,0.114935,0.178790,0.262027,0.029344,16.000000,1.750906,15.515454
us_sector_etf,constant_corr,hrp,252,monthly,10.000000,median_bulk,0.257192,0.249202,0.020623,0.104380,0.215209,0.099794,0.069879,9.114945,1.724388,3.566195
us_sector_etf,constant_corr,max_diversification,252,monthly,10.000000,median_bulk,0.382239,0.371250,0.031705,0.097198,0.166116,0.197555,0.090276,5.422083,1.980820,4.112398
us_sector_etf,rmt_hard,equal_weight,252,monthly,10.000000,median_bulk,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.755473,1.403608,30.446443
us_sector_etf,rmt_hard,inverse_variance,252,monthly,10.000000,median_bulk,0.360213,0.356878,0.036018,0.120595,0.194769,0.187087,0.034118,14.287113,1.677486,10.460203
us_sector_etf,rmt_hard,minimum_variance,252,monthly,10.000000,median_bulk,0.325019,0.318401,0.028450,0.106402,0.173133,0.168574,0.060202,5.175349,1.842153,5.288840
us_sector_etf,rmt_hard,risk_parity,252,monthly,10.000000,median_bulk,0.458081,0.455051,0.046321,0.114553,0.178625,0.261370,0.029402,16.000000,1.757374,15.476692
us_sector_etf,rmt_hard,hrp,252,monthly,10.000000,median_bulk,0.278358,0.269514,0.022882,0.105011,0.210231,0.113387,0.078214,9.233026,1.727118,3.445853
us_sector_etf,rmt_hard,max_diversification,252,monthly,10.000000,median_bulk,0.381131,0.369473,0.031435,0.096889,0.160519,0.203143,0.095182,5.396956,1.992306,3.881770
us_sector_etf,rmt_soft,equal_weight,252,monthly,10.000000,median_bulk,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.755020,1.411335,30.446443
us_sector_etf,rmt_soft,inverse_variance,252,monthly,10.000000,median_bulk,0.361200,0.357915,0.036016,0.120013,0.193192,0.188559,0.033432,14.296103,1.688007,10.705681
us_sector_etf,rmt_soft,minimum_variance,252,monthly,10.000000,median_bulk,0.331070,0.324704,0.028922,0.105367,0.174027,0.170215,0.057170,5.245282,1.842690,5.679591
us_sector_etf,rmt_soft,risk_parity,252,monthly,10.000000,median_bulk,0.457923,0.454899,0.046305,0.114562,0.178716,0.261148,0.029361,16.000000,1.764388,15.493269
us_sector_etf,rmt_soft,hrp,252,monthly,10.000000,median_bulk,0.257787,0.249683,0.020658,0.104289,0.213509,0.100817,0.071286,9.144316,1.737238,3.502530
us_sector_etf,rmt_soft,max_diversification,252,monthly,10.000000,median_bulk,0.382501,0.371160,0.031563,0.096753,0.163538,0.199969,0.092460,5.536094,1.992488,4.014293
us_sector_etf,rmt_rie,equal_weight,252,monthly,10.000000,median_bulk,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.756594,1.439244,30.446443
us_sector_etf,rmt_rie,inverse_variance,252,monthly,10.000000,median_bulk,0.364592,0.361297,0.036130,0.118651,0.188095,0.194256,0.033114,14.217968,1.714996,10.910817
us_sector_etf,rmt_rie,minimum_variance,252,monthly,10.000000,median_bulk,0.308419,0.301971,0.026493,0.105464,0.179499,0.151534,0.057859,5.416796,1.863382,5.219095
us_sector_etf,rmt_rie,risk_parity,252,monthly,10.000000,median_bulk,0.454272,0.451257,0.046023,0.114998,0.180069,0.257617,0.029351,16.000000,1.790534,15.374766
us_sector_etf,rmt_rie,hrp,252,monthly,10.000000,median_bulk,0.257987,0.249946,0.020614,0.103706,0.210205,0.102123,0.069747,9.073136,1.759708,3.583593
us_sector_etf,rmt_rie,max_diversification,252,monthly,10.000000,median_bulk,0.382505,0.371661,0.032218,0.098866,0.168011,0.198391,0.090357,5.935737,2.008388,4.113247
us_sector_etf,factor_model,equal_weight,252,monthly,10.000000,median_bulk,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.737695,1.391222,30.446443
us_sector_etf,factor_model,inverse_variance,252,monthly,10.000000,median_bulk,0.366133,0.362866,0.036442,0.119183,0.190198,0.193743,0.033023,13.709883,1.700450,10.988413
us_sector_etf,factor_model,minimum_variance,252,monthly,10.000000,median_bulk,0.391896,0.384057,0.034085,0.100735,0.169284,0.206237,0.067090,4.983953,2.027620,5.724485
us_sector_etf,factor_model,risk_parity,252,monthly,10.000000,median_bulk,0.428935,0.425542,0.041241,0.109548,0.180261,0.230946,0.031364,16.000000,1.889860,13.567769
us_sector_etf,factor_model,hrp,252,monthly,10.000000,median_bulk,0.215847,0.207300,0.015916,0.101487,0.214881,0.078182,0.072787,8.627401,1.784311,2.848048
us_sector_etf,factor_model,max_diversification,252,monthly,10.000000,median_bulk,0.307681,0.299775,0.022629,0.087640,0.155539,0.150072,0.058327,4.783840,2.310492,5.139548
cn_sector_etf,sample,equal_weight,252,monthly,10.000000,median_bulk,0.137308,0.135746,0.007833,0.219824,0.326079,0.025094,0.028134,14.662495,1.308463,4.824982
cn_sector_etf,sample,inverse_variance,252,monthly,10.000000,median_bulk,0.135628,0.132984,0.008745,0.190009,0.286900,0.032255,0.041381,14.729749,1.325671,3.213600
cn_sector_etf,sample,minimum_variance,252,monthly,10.000000,median_bulk,0.176301,0.169048,0.014769,0.144356,0.230992,0.068532,0.086775,5.140531,1.372653,1.948116
cn_sector_etf,sample,risk_parity,252,monthly,10.000000,median_bulk,0.150071,0.147837,0.011503,0.193182,0.293176,0.040732,0.035456,16.000000,1.358580,4.169597
cn_sector_etf,sample,hrp,252,monthly,10.000000,median_bulk,0.124489,0.120417,0.006721,0.180380,0.279562,0.026700,0.060694,14.313776,1.338316,1.984011
cn_sector_etf,sample,max_diversification,252,monthly,10.000000,median_bulk,0.316532,0.310340,0.039548,0.166071,0.273440,0.148507,0.084480,4.743385,1.537886,3.673531
cn_sector_etf,ledoit_wolf,equal_weight,252,monthly,10.000000,median_bulk,0.137308,0.135746,0.007833,0.219824,0.326079,0.025094,0.028134,14.674235,1.335753,4.824982
cn_sector_etf,ledoit_wolf,inverse_variance,252,monthly,10.000000,median_bulk,0.140382,0.137816,0.009611,0.191633,0.288235,0.035075,0.040463,14.879142,1.357839,3.405985
cn_sector_etf,ledoit_wolf,minimum_variance,252,monthly,10.000000,median_bulk,0.179980,0.172790,0.015320,0.144505,0.232533,0.070415,0.086150,5.344306,1.412101,2.005680
cn_sector_etf,ledoit_wolf,risk_parity,252,monthly,10.000000,median_bulk,0.150292,0.148073,0.011537,0.193605,0.293472,0.040800,0.035305,16.000000,1.389505,4.194087
cn_sector_etf,ledoit_wolf,hrp,252,monthly,10.000000,median_bulk,0.128306,0.124369,0.007404,0.181257,0.279014,0.029126,0.058957,14.408327,1.371496,2.109478
cn_sector_etf,ledoit_wolf,max_diversification,252,monthly,10.000000,median_bulk,0.265260,0.259207,0.030540,0.164059,0.274443,0.114987,0.081814,5.148202,1.557315,3.168266
cn_sector_etf,constant_corr,equal_weight,252,monthly,10.000000,median_bulk,0.137308,0.135746,0.007833,0.219824,0.326079,0.025094,0.028134,14.662495,1.308463,4.824982
cn_sector_etf,constant_corr,inverse_variance,252,monthly,10.000000,median_bulk,0.135628,0.132984,0.008745,0.190009,0.286900,0.032255,0.041381,14.729749,1.325671,3.213600
cn_sector_etf,constant_corr,minimum_variance,252,monthly,10.000000,median_bulk,0.176302,0.169048,0.014769,0.144356,0.230992,0.068532,0.086775,5.140552,1.372653,1.948128
cn_sector_etf,constant_corr,risk_parity,252,monthly,10.000000,median_bulk,0.150071,0.147837,0.011503,0.193182,0.293176,0.040732,0.035456,16.000000,1.358580,4.169597
cn_sector_etf,constant_corr,hrp,252,monthly,10.000000,median_bulk,0.123426,0.119321,0.006517,0.180474,0.278010,0.026135,0.061204,14.318371,1.338374,1.949558
cn_sector_etf,constant_corr,max_diversification,252,monthly,10.000000,median_bulk,0.316532,0.310340,0.039548,0.166071,0.273440,0.148507,0.084480,4.743385,1.537886,3.673531
cn_sector_etf,rmt_hard,equal_weight,252,monthly,10.000000,median_bulk,0.137308,0.135746,0.007833,0.219824,0.326079,0.025094,0.028134,14.661309,1.308517,4.824982
cn_sector_etf,rmt_hard,inverse_variance,252,monthly,10.000000,median_bulk,0.139601,0.136930,0.009535,0.189013,0.283258,0.035470,0.041587,14.789457,1.327868,3.292602
cn_sector_etf,rmt_hard,minimum_variance,252,monthly,10.000000,median_bulk,0.179755,0.172319,0.015250,0.144362,0.231455,0.070593,0.089008,5.242878,1.367279,1.935987
cn_sector_etf,rmt_hard,risk_parity,252,monthly,10.000000,median_bulk,0.150285,0.148048,0.011545,0.193164,0.293217,0.040872,0.035506,16.000000,1.356696,4.169680
cn_sector_etf,rmt_hard,hrp,252,monthly,10.000000,median_bulk,0.129019,0.124866,0.007484,0.182033,0.278470,0.029621,0.062530,14.288168,1.335421,1.996913
