universe,estimator,sharpe_net,sharpe,ann_volatility,avg_turnover,avg_enb
cn_sector_etf,constant_corr,0.169213,0.173211,0.182319,0.056238,11.599092
cn_sector_etf,factor_model,0.179281,0.183401,0.180629,0.057126,11.447647
cn_sector_etf,ledoit_wolf,0.163000,0.166921,0.182481,0.055137,11.742369
cn_sector_etf,rmt_hard,0.172899,0.176982,0.182258,0.057321,11.565608
cn_sector_etf,rmt_rie,0.163228,0.167316,0.182600,0.057779,11.656155
cn_sector_etf,rmt_soft,0.170754,0.174794,0.182304,0.056838,11.619417
cn_sector_etf,sample,0.169395,0.173388,0.182304,0.056153,11.598323
us_sector_etf,constant_corr,0.398642,0.404164,0.118055,0.050129,10.476154
us_sector_etf,factor_model,0.385464,0.390866,0.114348,0.047232,10.140462
us_sector_etf,ledoit_wolf,0.446961,0.451886,0.122171,0.047001,10.819700
us_sector_etf,rmt_hard,0.400427,0.406251,0.118491,0.052986,10.474653
us_sector_etf,rmt_rie,0.394896,0.400413,0.118197,0.050204,10.566705
us_sector_etf,rmt_soft,0.398601,0.404198,0.118080,0.050751,10.496136
us_sector_etf,sample,0.399386,0.404976,0.117740,0.050479,10.458942
us_single_stock,constant_corr,1.020812,1.034184,0.117578,0.118711,19.933579
us_single_stock,factor_model,0.899082,0.911415,0.117977,0.111199,19.577843
us_single_stock,ledoit_wolf,1.017688,1.029353,0.118071,0.101853,21.608353
us_single_stock,rmt_hard,0.999130,1.012955,0.116375,0.121009,19.894056
us_single_stock,rmt_rie,0.968964,0.981134,0.117415,0.108040,20.395484
us_single_stock,rmt_soft,1.004668,1.017372,0.116953,0.111657,20.110018
us_single_stock,sample,1.026319,1.039758,0.117033,0.118263,19.801001
