window,universe,estimator,allocator,frequency,cost_bps,sigma_method,sharpe,sharpe_net,ann_return_net,ann_volatility,max_drawdown,calmar,avg_turnover,avg_enb,avg_dr,sharpe_per_turnover
120,us_sector_etf,sample,equal_weight,monthly,10.000000,median_bulk,0.750547,0.748840,0.102474,0.145679,0.220277,0.466433,0.020576,12.527457,1.440633,36.393678
120,us_sector_etf,sample,inverse_variance,monthly,10.000000,median_bulk,0.473073,0.467777,0.044821,0.106409,0.179372,0.253175,0.047389,13.796081,1.721147,9.870999
120,us_sector_etf,sample,minimum_variance,monthly,10.000000,median_bulk,0.496134,0.483255,0.040696,0.091385,0.163875,0.255745,0.097222,5.386964,1.935883,4.970664
120,us_sector_etf,sample,risk_parity,monthly,10.000000,median_bulk,0.580776,0.575595,0.055424,0.103396,0.188942,0.296346,0.045138,16.000000,1.819636,12.751927
120,us_sector_etf,sample,hrp,monthly,10.000000,median_bulk,0.399524,0.387705,0.032220,0.093342,0.180998,0.184309,0.092266,8.882962,1.744501,4.202063
120,us_sector_etf,sample,max_diversification,monthly,10.000000,median_bulk,0.523319,0.500404,0.042068,0.090729,0.177795,0.248754,0.172980,5.224109,2.093996,2.892838
120,us_sector_etf,ledoit_wolf,equal_weight,monthly,10.000000,median_bulk,0.750547,0.748840,0.102474,0.145679,0.220277,0.466433,0.020576,12.578499,1.491950,36.393678
120,us_sector_etf,ledoit_wolf,inverse_variance,monthly,10.000000,median_bulk,0.610896,0.606402,0.064029,0.113590,0.180311,0.358110,0.042599,14.130314,1.723152,14.235034
120,us_sector_etf,ledoit_wolf,minimum_variance,monthly,10.000000,median_bulk,0.527788,0.515647,0.043959,0.091808,0.163542,0.275851,0.092278,5.775749,1.997313,5.587949
120,us_sector_etf,ledoit_wolf,risk_parity,monthly,10.000000,median_bulk,0.638223,0.633746,0.063721,0.106910,0.188954,0.339919,0.039957,16.000000,1.871826,15.860534
120,us_sector_etf,ledoit_wolf,hrp,monthly,10.000000,median_bulk,0.498506,0.486812,0.044115,0.099093,0.170584,0.265680,0.096427,10.201421,1.834109,5.048509
120,us_sector_etf,ledoit_wolf,max_diversification,monthly,10.000000,median_bulk,0.536391,0.521324,0.045779,0.094722,0.167029,0.282994,0.119026,6.302892,2.120352,4.379928
120,us_sector_etf,constant_corr,equal_weight,monthly,10.000000,median_bulk,0.750547,0.748840,0.102474,0.145679,0.220277,0.466433,0.020576,12.557246,1.441513,36.393678
120,us_sector_etf,constant_corr,inverse_variance,monthly,10.000000,median_bulk,0.473073,0.467777,0.044821,0.106409,0.179372,0.253175,0.047389,13.811182,1.718638,9.870999
120,us_sector_etf,constant_corr,minimum_variance,monthly,10.000000,median_bulk,0.496449,0.483641,0.040716,0.091342,0.163480,0.256444,0.096701,5.420008,1.922006,5.001426
120,us_sector_etf,constant_corr,risk_parity,monthly,10.000000,median_bulk,0.577821,0.572686,0.055272,0.103735,0.188857,0.295657,0.044899,16.000000,1.812822,12.754958
120,us_sector_etf,constant_corr,hrp,monthly,10.000000,median_bulk,0.396174,0.384323,0.031902,0.093372,0.182298,0.181271,0.092541,8.929102,1.742085,4.153017
120,us_sector_etf,constant_corr,max_diversification,monthly,10.000000,median_bulk,0.518817,0.496390,0.041919,0.091283,0.177478,0.248158,0.170137,5.303803,2.079631,2.917583
120,us_sector_etf,rmt_hard,equal_weight,monthly,10.000000,median_bulk,0.750547,0.748840,0.102474,0.145679,0.220277,0.466433,0.020576,12.527660,1.438786,36.393678
120,us_sector_etf,rmt_hard,inverse_variance,monthly,10.000000,median_bulk,0.470421,0.465035,0.044875,0.107400,0.177863,0.255710,0.048613,13.829029,1.718432,9.566128
120,us_sector_etf,rmt_hard,minimum_variance,monthly,10.000000,median_bulk,0.510833,0.497113,0.041769,0.090799,0.162584,0.264813,0.102861,5.260331,1.940777,4.832853
120,us_sector_etf,rmt_hard,risk_parity,monthly,10.000000,median_bulk,0.579417,0.574212,0.055287,0.103426,0.188748,0.295939,0.045291,16.000000,1.821631,12.678301
120,us_sector_etf,rmt_hard,hrp,monthly,10.000000,median_bulk,0.395402,0.383925,0.032144,0.094331,0.183717,0.181062,0.090723,8.999216,1.746670,4.231833
120,us_sector_etf,rmt_hard,max_diversification,monthly,10.000000,median_bulk,0.468507,0.448420,0.037347,0.091234,0.174240,0.225177,0.151753,5.330380,2.100522,2.954932
120,us_sector_etf,rmt_soft,equal_weight,monthly,10.000000,median_bulk,0.750547,0.748840,0.102474,0.145679,0.220277,0.466433,0.020576,12.527072,1.450255,36.393678
