window,estimator,sharpe_net,sharpe,ann_volatility,avg_turnover,avg_enb
120,constant_corr,0.525610,0.535480,0.105304,0.078707,10.336890
120,factor_model,0.513383,0.522402,0.103591,0.070656,10.114470
120,ledoit_wolf,0.585462,0.593725,0.108634,0.068477,10.831479
120,rmt_hard,0.519591,0.529188,0.105478,0.076636,10.324436
120,rmt_rie,0.527775,0.537353,0.105247,0.076574,10.468126
120,rmt_soft,0.521338,0.530719,0.105473,0.075131,10.365139
120,sample,0.527263,0.537229,0.105157,0.079262,10.302929
252,constant_corr,0.398642,0.404164,0.118055,0.050129,10.476154
252,factor_model,0.385464,0.390866,0.114348,0.047232,10.140462
252,ledoit_wolf,0.446961,0.451886,0.122171,0.047001,10.819700
252,rmt_hard,0.400427,0.406251,0.118491,0.052986,10.474653
252,rmt_rie,0.394896,0.400413,0.118197,0.050204,10.566705
252,rmt_soft,0.398601,0.404198,0.118080,0.050751,10.496136
252,sample,0.399386,0.404976,0.117740,0.050479,10.458942
500,constant_corr,0.486386,0.491070,0.093167,0.035089,10.631413
500,factor_model,0.472119,0.476685,0.089676,0.032650,10.183004
500,ledoit_wolf,0.535437,0.539921,0.093763,0.033994,10.798525
500,rmt_hard,0.481819,0.486742,0.093253,0.036893,10.630252
500,rmt_rie,0.481481,0.486727,0.093317,0.039323,10.682939
500,rmt_soft,0.485775,0.490502,0.093097,0.035392,10.632746
500,sample,0.483532,0.488346,0.093244,0.036056,10.604512
756,constant_corr,0.460943,0.465132,0.091888,0.032113,10.672990
756,factor_model,0.416018,0.419994,0.089083,0.029304,10.267793
756,ledoit_wolf,0.472869,0.477110,0.092265,0.032383,10.820802
756,rmt_hard,0.447808,0.452338,0.091866,0.034335,10.690135
756,rmt_rie,0.452332,0.457362,0.092029,0.038424,10.695781
756,rmt_soft,0.457059,0.461234,0.091879,0.031945,10.684813
756,sample,0.457969,0.462179,0.091978,0.032279,10.658586
