rank,eigenvalue,share_of_trace,cumulative_share,above_lambda_plus,ratio_to_lambda_plus
1,9.644355,0.602772,0.602772,True,30.477724
2,1.935796,0.120987,0.723759,True,6.117428
3,0.952633,0.059540,0.783299,True,3.010476
4,0.716961,0.044810,0.828109,True,2.265713
5,0.562525,0.035158,0.863267,True,1.777671
6,0.494684,0.030918,0.894185,True,1.563281
7,0.420677,0.026292,0.920477,True,1.329408
8,0.374681,0.023418,0.943894,True,1.184052
9,0.281744,0.017609,0.961503,False,0.890356
10,0.248692,0.015543,0.977047,False,0.785907
