rank,eigenvalue_mean,eigenvalue_std,eigenvalue_cv,eigenvalue_min,eigenvalue_max,vector_overlap_mean,vector_overlap_min,n_windows
1,9.561424,1.089861,0.113985,7.999181,11.326971,0.999366,0.992227,47
2,2.111034,0.267022,0.126489,1.733542,2.537652,0.994325,0.944604,47
3,1.126966,0.402105,0.356803,0.583542,1.776326,0.979043,0.668025,47
4,0.716799,0.166773,0.232663,0.441595,1.022390,0.958473,0.602134,47
5,0.506723,0.061129,0.120636,0.383309,0.622759,0.907898,0.231395,47
6,0.425447,0.070500,0.165708,0.286826,0.527830,0.851700,0.086672,47
7,0.354906,0.062306,0.175557,0.247177,0.435483,0.845390,0.082856,47
8,0.308848,0.052521,0.170053,0.215918,0.382299,0.836364,0.000114,47
9,0.261994,0.046737,0.178389,0.172574,0.335545,0.857812,0.036385,47
10,0.210796,0.036474,0.173028,0.138294,0.272506,0.889762,0.258599,47
