rank,eigenvalue,share_of_trace,cumulative_share,above_lambda_plus,ratio_to_lambda_plus
1,8.599922,0.537495,0.537495,True,29.524930
2,2.295672,0.143479,0.680975,True,7.881414
3,1.205963,0.075373,0.756347,True,4.140269
4,1.036734,0.064796,0.821143,True,3.559277
5,0.608385,0.038024,0.859167,True,2.088686
6,0.559495,0.034968,0.894136,True,1.920839
7,0.401069,0.025067,0.919203,True,1.376935
8,0.281108,0.017569,0.936772,False,0.965089
9,0.218081,0.013630,0.950402,False,0.748707
10,0.198162,0.012385,0.962787,False,0.680323
