rank,eigenvalue_mean,eigenvalue_std,eigenvalue_cv,eigenvalue_min,eigenvalue_max,vector_overlap_mean,vector_overlap_min,n_windows
1,8.911149,1.418358,0.159167,6.776941,11.795736,0.998699,0.959039,79
2,2.312027,0.320925,0.138807,1.603898,2.859888,0.992586,0.830120,79
3,1.202010,0.244422,0.203344,0.815926,1.698540,0.960194,0.359573,79
4,0.904366,0.225283,0.249106,0.464365,1.419573,0.944310,0.256131,79
5,0.620484,0.151809,0.244662,0.232074,0.874665,0.949903,0.208847,79
6,0.423687,0.129856,0.306491,0.162847,0.611365,0.951265,0.395656,79
7,0.338115,0.112853,0.333772,0.107800,0.534807,0.894803,0.189708,79
8,0.289716,0.090594,0.312699,0.095766,0.428719,0.893387,0.232541,79
9,0.237643,0.085232,0.358655,0.071047,0.390587,0.909096,0.368929,79
10,0.192029,0.068308,0.355715,0.060423,0.334629,0.900992,0.306333,79
